"","Species","Ecoregion","mean_ProbEst"
"1"," abiegran"," eco1",0
"2"," abiegran"," eco10",0
"3"," abiegran"," eco11",0
"4"," abiegran"," eco12",0
"5"," abiegran"," eco14",0
"6"," abiegran"," eco16",0
"7"," abiegran"," eco17",0
"8"," abiegran"," eco18",0
"9"," abiegran"," eco19",0
"10"," abiegran"," eco2",0
"11"," abiegran"," eco20",0
"12"," abiegran"," eco21",0
"13"," abiegran"," eco22",0
"14"," abiegran"," eco23",0
"15"," abiegran"," eco24",0
"16"," abiegran"," eco25",0
"17"," abiegran"," eco26",0
"18"," abiegran"," eco27",0
"19"," abiegran"," eco28",0
"20"," abiegran"," eco29",0
"21"," abiegran"," eco3",0
"22"," abiegran"," eco30",0
"23"," abiegran"," eco4",0
"24"," abiegran"," eco6",0
"25"," abiegran"," eco7",0
"26"," abiegran"," eco8",0
"27"," acercamp"," eco1",0
"28"," acercamp"," eco10",0
"29"," acercamp"," eco11",0
"30"," acercamp"," eco12",0
"31"," acercamp"," eco14",0
"32"," acercamp"," eco16",0
"33"," acercamp"," eco17",0
"34"," acercamp"," eco18",0
"35"," acercamp"," eco19",0
"36"," acercamp"," eco2",0
"37"," acercamp"," eco20",0
"38"," acercamp"," eco21",0
"39"," acercamp"," eco22",0
"40"," acercamp"," eco23",0
"41"," acercamp"," eco24",0
"42"," acercamp"," eco25",0
"43"," acercamp"," eco26",0
"44"," acercamp"," eco27",0
"45"," acercamp"," eco28",0
"46"," acercamp"," eco29",0
"47"," acercamp"," eco3",0
"48"," acercamp"," eco30",0
"49"," acercamp"," eco4",0
"50"," acercamp"," eco6",0
"51"," acercamp"," eco7",0
"52"," acercamp"," eco8",0
"53"," acerpseu"," eco1",0
"54"," acerpseu"," eco10",0
"55"," acerpseu"," eco11",0
"56"," acerpseu"," eco12",0
"57"," acerpseu"," eco14",0
"58"," acerpseu"," eco16",0
"59"," acerpseu"," eco17",0
"60"," acerpseu"," eco18",0
"61"," acerpseu"," eco19",0
"62"," acerpseu"," eco2",0
"63"," acerpseu"," eco20",0
"64"," acerpseu"," eco21",0
"65"," acerpseu"," eco22",0
"66"," acerpseu"," eco23",0
"67"," acerpseu"," eco24",0
"68"," acerpseu"," eco25",0
"69"," acerpseu"," eco26",0
"70"," acerpseu"," eco27",0
"71"," acerpseu"," eco28",0
"72"," acerpseu"," eco29",0
"73"," acerpseu"," eco3",0
"74"," acerpseu"," eco30",0
"75"," acerpseu"," eco4",0
"76"," acerpseu"," eco6",0
"77"," acerpseu"," eco7",0
"78"," acerpseu"," eco8",0
"79"," alnuglut"," eco1",0.03
"80"," alnuglut"," eco10",0
"81"," alnuglut"," eco11",0.02
"82"," alnuglut"," eco12",0.04
"83"," alnuglut"," eco14",0
"84"," alnuglut"," eco16",0
"85"," alnuglut"," eco17",0.04
"86"," alnuglut"," eco18",0
"87"," alnuglut"," eco19",0
"88"," alnuglut"," eco2",0
"89"," alnuglut"," eco20",0
"90"," alnuglut"," eco21",0
"91"," alnuglut"," eco22",0
"92"," alnuglut"," eco23",0
"93"," alnuglut"," eco24",0
"94"," alnuglut"," eco25",0.02
"95"," alnuglut"," eco26",0
"96"," alnuglut"," eco27",0
"97"," alnuglut"," eco28",0
"98"," alnuglut"," eco29",0.06
"99"," alnuglut"," eco3",0.02
"100"," alnuglut"," eco30",0
"101"," alnuglut"," eco4",0
"102"," alnuglut"," eco6",0
"103"," alnuglut"," eco7",0
"104"," alnuglut"," eco8",0.02
"105"," betupend"," eco1",0
"106"," betupend"," eco10",0
"107"," betupend"," eco11",0
"108"," betupend"," eco12",0
"109"," betupend"," eco14",0
"110"," betupend"," eco16",0
"111"," betupend"," eco17",0
"112"," betupend"," eco18",0
"113"," betupend"," eco19",0
"114"," betupend"," eco2",0
"115"," betupend"," eco20",0
"116"," betupend"," eco21",0
"117"," betupend"," eco22",0
"118"," betupend"," eco23",0
"119"," betupend"," eco24",0
"120"," betupend"," eco25",0
"121"," betupend"," eco26",0
"122"," betupend"," eco27",0
"123"," betupend"," eco28",0
"124"," betupend"," eco29",0
"125"," betupend"," eco3",0
"126"," betupend"," eco30",0
"127"," betupend"," eco4",0
"128"," betupend"," eco6",0
"129"," betupend"," eco7",0
"130"," betupend"," eco8",0
"131"," carpbetu"," eco1",0.06
"132"," carpbetu"," eco10",0.04
"133"," carpbetu"," eco11",0.06
"134"," carpbetu"," eco12",0.06
"135"," carpbetu"," eco14",0
"136"," carpbetu"," eco16",0
"137"," carpbetu"," eco17",0.06
"138"," carpbetu"," eco18",0.04
"139"," carpbetu"," eco19",0
"140"," carpbetu"," eco2",0
"141"," carpbetu"," eco20",0
"142"," carpbetu"," eco21",0
"143"," carpbetu"," eco22",0
"144"," carpbetu"," eco23",0
"145"," carpbetu"," eco24",0.02
"146"," carpbetu"," eco25",0.06
"147"," carpbetu"," eco26",0
"148"," carpbetu"," eco27",0.04
"149"," carpbetu"," eco28",0.05
"150"," carpbetu"," eco29",0.08
"151"," carpbetu"," eco3",0.06
"152"," carpbetu"," eco30",0.03
"153"," carpbetu"," eco4",0.05
"154"," carpbetu"," eco6",0
"155"," carpbetu"," eco7",0.04
"156"," carpbetu"," eco8",0.06
"157"," castsati"," eco1",0
"158"," castsati"," eco10",0
"159"," castsati"," eco11",0
"160"," castsati"," eco12",0
"161"," castsati"," eco14",0
"162"," castsati"," eco16",0
"163"," castsati"," eco17",0
"164"," castsati"," eco18",0
"165"," castsati"," eco19",0
"166"," castsati"," eco2",0
"167"," castsati"," eco20",0
"168"," castsati"," eco21",0
"169"," castsati"," eco22",0
"170"," castsati"," eco23",0
"171"," castsati"," eco24",0
"172"," castsati"," eco25",0
