SppBiomass_querrobu,SppBiomass_fagusylv,SppBiomass_ilexaqui,SppBiomass_pinusylv,SppBiomass_castsati,SppBiomass_taxubacc,SppBiomass_salicine,SppBiomass_sorbaucu,SppBiomass_prunspin,SppBiomass_alnuglut,SppBiomass_fraxexce,SppBiomass_betupend,SppBiomass_franalnu,SppBiomass_pinunigr,SppBiomass_carpbetu,SppBiomass_pseumenz,SppBiomass_cratmono,SppBiomass_popualba,SppBiomass_sorbaria,SppBiomass_piceabie,SppBiomass_tsughete,SppBiomass_larideci,SppBiomass_sorbtorm,SppBiomass_picesitc,SppBiomass_querrubr,SppBiomass_acercamp,SppBiomass_acerpseu,SppBiomass_abiegran,SppBiomass_chamlaws,SppBiomass_coryavel,SppBiomass_malusylv,SppBiomass_pinupond,SppBiomass_sequsemp,SppBiomass_tiliplat,SppBiomass_vibuopul,Time,Ecoregion,EcoregionIndex,NumSites,
16825.017,5577.668275,2186.235862,372.7142403,0,0,386.7609336,288.7957435,344.52448,528.7268384,838.1008145,34.30403614,90.75654936,0,225.4536505,103.2020798,39.49148655,0,0,0,28.57166481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco1,0,32, 
12942.39547,12876.87964,238.6143897,452.1673289,587.1701903,52.31717242,262.8600752,0,0,0,174.573994,81.99404654,0,0,236.5264512,129.9750966,5.647949908,0,0,0,44.59453343,53.65362219,0,18.66960776,0,0,0,0,0,0,0,0,0,0,0,130, eco2,1,1239, 
26143.76552,8478.290498,32.99408419,2.344566496,1947.525609,17.53723114,9.415873254,0,0,0,32.22115694,13.29301064,0,0,32.24976711,14.73142007,0.682009582,0,0,0,4.077438642,0.155562159,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco3,2,689, 
20222.2176,11236.72459,436.3941916,295.0331363,1023.726671,288.8882002,131.2247445,0,0,0,0,64.27828747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco4,3,23, 
23361.57361,16495.81972,15.0842199,0,0,0,0,0,0,0,0,1.039951265,0,0,0,0,0.113454804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco6,4,3, 
19811.18129,10611.64022,1705.440096,186.2403982,0,0,78.1903703,0,0,0,0,97.61824079,0,0,0,0,33.94613162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco7,5,44, 
14794.41152,9501.781958,2780.873278,0,0,0,205.5796509,0,0,0,0,132.1431046,0,0,0,0,46.76612536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco8,6,6, 
14369.25312,9911.23676,1766.20325,455.2746809,164.7914916,101.1061056,247.8133945,169.5040209,226.2513739,12.01642874,2.268706617,43.95562457,0,35.66094696,0,6.125420822,33.54505636,9.42195263,0,0,0,0,11.42823508,0,0,24.92523157,0,0,0,0,0,0,0,0,0,130, eco10,7,1861, 
12919.94868,3783.877706,1797.914375,901.5162787,96.91150833,35.95370416,336.1310655,543.9605936,512.2005967,101.0969492,14.23032536,104.2288126,154.9919648,79.89212813,0,15.5083576,42.185156,0,0,14.595079,0,0,1.967807233,0,0,0,0,0,0,0,0,0,0,0,0,130, eco11,8,554, 
25731.83892,8426.218049,538.2738494,745.2389106,246.6384402,0,65.27076581,0,120.9409507,0,0,46.82048462,155.0051905,427.9416742,0,0,15.62344269,0,0,0.769231051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco12,9,71, 
18258.17749,11735.2352,1930.056587,0,0,0,0,0,0,0,0,106.6605988,0,0,0,0,37.45150757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130, eco14,10,1, 
19615.02729,17595.21885,133.3143963,41.16521832,130.9523322,4.584743572,31.19445468,0,0,65.98946917,55.33802885,3.860508202,0,3.495341635,0,0.428428847,3.201850274,0,0,0.338344156,3.61639039,0,0,7.51823157,0,0,0,0,0,0,0,0,0,0,0,130, eco16,11,3333, 
23212.70386,15645.77805,432.5588779,243.4342211,524.6814722,88.92355831,62.31808743,73.33039343,82.90910471,72.11077052,45.49121704,17.94837802,59.88538284,67.38537965,0,3.703483471,9.379686173,9.343934182,77.75878053,0.068510196,0.595612253,0.094076219,7.352143214,1.23150859,0,0,0.194536462,0,0,0,0,0,0,0,0,130, eco17,12,7434, 
22908.47348,12907.22739,469.3064931,190.7708005,81.52476637,114.097186,66.53006511,24.28427914,18.61075472,0,11.20793255,17.26911403,0,0.473782533,0,16.66232558,7.617536576,80.4150803,32.89632724,0.336575131,4.848292988,0,0,0,8.631420587,0,2.819212611,0,0,0,0,0,0,0,0,130, eco18,13,2972, 
