Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitCapacity, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,7,12,cratmono,2,71.5,9.4,0.00,0.00,0.29,0.00,4.64,0.10,0.02,0.98,2.30,0.00,0.05,0.47,1.00,0.99,1.00,320,19116,278,80.9,18.8,4.73,2.03,2.22,0.95,0.00,0.10,0.10,4.45,2.03,0.29,0.00,
1,7,12,querrobu,2,88.7,10.7,0.00,0.00,0.27,0.00,4.64,0.10,0.04,0.99,2.73,0.07,0.05,0.47,0.94,0.99,1.00,482,32682,285,99.4,18.8,6.23,3.35,2.93,1.58,0.00,0.10,0.10,5.96,3.35,0.27,0.00,
1,7,12,fagusylv,2,88.6,10.7,0.00,0.00,0.27,0.00,4.64,0.10,0.04,0.99,2.73,0.01,0.05,0.47,0.94,0.99,1.00,482,32682,294,99.3,18.8,6.23,3.35,2.93,1.58,0.00,0.09,0.09,5.96,3.35,0.27,0.00,
1,8,12,cratmono,2,76.0,11.4,0.00,0.00,0.30,0.00,5.25,0.10,0.02,0.99,2.26,0.00,0.05,0.62,0.99,0.99,1.00,320,19116,303,87.4,18.3,6.30,2.70,2.96,1.27,0.00,0.13,0.13,5.99,2.70,0.30,0.00,
1,8,12,querrobu,2,94.6,14.1,0.00,0.00,0.28,0.00,5.25,0.10,0.04,1.00,2.69,0.07,0.05,0.62,0.91,0.99,1.00,482,32682,312,108.7,18.3,8.13,4.38,3.82,2.06,0.00,0.13,0.13,7.85,4.38,0.28,0.00,
1,8,12,fagusylv,2,94.5,14.1,0.00,0.00,0.28,0.00,5.25,0.10,0.04,1.00,2.69,0.01,0.05,0.62,0.91,0.99,1.00,482,32682,324,108.6,18.3,8.13,4.38,3.82,2.06,0.00,0.12,0.12,7.85,4.38,0.28,0.00,
1,9,12,cratmono,2,82.0,14.1,0.00,0.00,0.33,14.09,5.71,0.10,0.02,1.00,2.21,0.00,0.05,1.00,0.93,0.99,1.00,320,19116,336,96.1,15.6,9.51,4.08,4.47,1.92,0.00,0.20,0.20,9.18,-10.01,0.33,14.09,
1,9,12,querrobu,2,102.5,18.5,0.00,0.00,0.31,18.47,5.71,0.10,0.04,1.00,2.63,0.07,0.05,1.00,0.73,0.99,1.00,482,32682,335,121.0,15.6,10.49,5.65,4.93,2.66,0.00,0.17,0.17,10.18,-12.82,0.31,18.47,
1,9,12,fagusylv,2,102.4,18.5,0.00,0.00,0.31,18.47,5.71,0.10,0.04,1.00,2.63,0.01,0.05,1.00,0.73,0.99,1.00,482,32682,333,120.8,15.6,10.49,5.65,4.93,2.66,0.00,0.16,0.16,10.18,-12.82,0.31,18.47,
1,10,12,cratmono,2,91.2,4.1,0.00,0.00,0.36,4.08,8.15,0.10,0.02,0.82,2.12,0.26,0.05,1.00,0.78,0.99,1.00,320,19116,331,95.2,12.2,7.94,3.40,3.73,1.60,0.00,0.16,0.16,7.58,-0.67,0.36,4.08,
1,10,12,querrobu,2,112.7,5.6,0.00,0.00,0.34,5.65,8.15,0.10,0.05,0.91,2.53,0.26,0.05,1.00,0.43,0.99,1.00,482,32682,338,118.3,12.2,6.20,3.34,2.92,1.57,0.00,0.10,0.10,5.87,-2.31,0.34,5.65,
1,10,12,fagusylv,2,112.5,5.6,0.00,0.00,0.34,5.65,8.15,0.10,0.05,0.91,2.53,0.16,0.05,1.00,0.43,0.99,1.00,482,32682,341,118.2,12.2,6.20,3.34,2.92,1.57,0.00,0.09,0.09,5.87,-2.31,0.34,5.65,
1,11,12,cratmono,2,98.7,3.4,0.00,0.00,0.39,3.40,10.05,0.00,0.03,0.76,2.11,0.34,0.00,1.00,0.48,0.99,1.00,320,19116,344,102.1,7.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,-3.40,0.39,3.40,
1,11,12,querrobu,2,118.5,3.3,0.00,0.00,0.36,3.34,10.05,0.00,0.05,0.76,2.51,0.32,0.00,1.00,0.12,0.99,1.00,482,32682,340,121.9,7.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,-3.34,0.36,3.34,
1,11,12,fagusylv,2,118.4,3.3,0.00,0.00,0.36,3.34,10.05,0.00,0.05,0.76,2.51,0.20,0.00,1.00,0.12,0.99,1.00,482,32682,337,121.8,7.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,-3.34,0.36,3.34,
1,12,12,cratmono,2,98.3,0.0,0.00,0.00,0.39,0.00,11.50,0.00,0.03,0.00,2.20,0.40,0.00,1.00,0.32,0.99,1.00,320,19116,334,98.3,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,12,12,querrobu,2,118.2,0.0,0.00,0.00,0.35,0.00,11.50,0.00,0.05,0.00,2.62,0.36,0.00,1.00,0.04,0.99,1.00,482,32682,333,118.2,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,12,12,fagusylv,2,118.1,0.0,0.00,0.00,0.35,0.00,11.50,0.00,0.05,0.00,2.61,0.23,0.00,1.00,0.04,0.99,1.00,482,32682,332,118.1,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,1,12,cratmono,2,98.0,0.0,0.00,0.00,0.39,0.00,11.62,0.00,0.03,0.00,2.28,0.40,0.00,1.00,0.28,0.99,1.00,320,19116,331,98.0,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,1,12,querrobu,2,117.8,0.0,0.00,0.00,0.35,0.00,11.62,0.00,0.05,0.00,2.71,0.36,0.00,1.00,0.03,0.99,1.00,482,32682,331,117.8,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,1,12,fagusylv,2,117.7,0.0,0.00,0.00,0.35,0.00,11.62,0.00,0.05,0.00,2.71,0.23,0.00,1.00,0.03,0.99,1.00,482,32682,331,117.7,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,2,12,cratmono,2,97.6,0.0,0.00,0.00,0.39,0.00,10.33,0.00,0.02,0.00,2.34,0.40,0.00,1.00,0.29,0.99,1.00,320,19116,331,97.6,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,2,12,querrobu,2,117.5,0.0,0.00,0.00,0.35,0.00,10.33,0.00,0.05,0.00,2.79,0.36,0.00,1.00,0.03,0.99,1.00,482,32682,331,117.5,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,2,12,fagusylv,2,117.4,0.0,0.00,0.00,0.35,0.00,10.33,0.00,0.05,0.00,2.79,0.23,0.00,1.00,0.03,0.99,1.00,482,32682,331,117.4,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,3,12,cratmono,2,97.2,0.0,0.00,0.00,0.39,0.00,9.59,0.00,0.02,0.00,2.40,0.40,0.00,1.00,0.42,0.99,1.00,320,19116,330,97.2,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,3,12,querrobu,2,117.1,0.0,0.00,0.00,0.35,0.00,9.59,0.00,0.05,0.00,2.86,0.36,0.00,1.00,0.08,0.99,1.00,482,32682,329,117.1,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,3,12,fagusylv,2,117.0,0.0,0.00,0.00,0.35,0.00,9.59,0.00,0.05,0.00,2.86,0.23,0.00,1.00,0.08,0.99,1.00,482,32682,328,117.0,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.35,0.00,
1,4,12,cratmono,2,96.8,0.0,0.00,0.00,0.39,0.00,7.88,0.10,0.02,0.00,2.47,0.40,0.05,1.00,0.59,0.99,1.00,320,19116,328,96.8,9.4,6.01,2.58,2.83,1.21,0.12,0.00,0.12,5.62,2.58,0.39,0.00,
1,4,12,querrobu,2,116.8,0.0,0.00,0.00,0.35,0.00,7.88,0.10,0.05,0.00,2.94,0.36,0.05,1.00,0.20,0.99,1.00,482,32682,336,116.8,9.4,2.91,1.57,1.37,0.74,0.05,0.00,0.05,2.56,1.57,0.35,0.00,
1,4,12,fagusylv,2,116.6,0.0,0.00,0.00,0.35,0.00,7.88,0.10,0.05,0.00,2.94,0.23,0.05,1.00,0.20,0.99,1.00,482,32682,340,116.6,9.4,2.91,1.57,1.37,0.74,0.04,0.00,0.04,2.56,1.57,0.35,0.00,
1,5,12,cratmono,2,102.4,2.6,0.00,0.00,0.41,0.00,6.46,0.10,0.03,0.66,2.55,0.28,0.05,1.00,0.81,0.99,1.00,320,19116,344,105.0,12.8,8.27,3.54,3.89,1.67,0.17,0.00,0.17,7.86,3.54,0.41,0.00,
1,5,12,querrobu,2,119.3,1.6,0.00,0.00,0.36,0.00,6.46,0.10,0.05,0.48,3.03,0.31,0.05,1.00,0.49,0.99,1.00,482,32682,356,120.9,12.8,6.95,3.74,3.26,1.76,0.11,0.00,0.11,6.59,3.74,0.36,0.00,
1,5,12,fagusylv,2,119.2,1.6,0.00,0.00,0.36,0.00,6.46,0.10,0.05,0.48,3.03,0.19,0.05,1.00,0.49,0.99,1.00,482,32682,367,120.8,12.8,6.95,3.74,3.26,1.76,0.10,0.00,0.10,6.59,3.74,0.36,0.00,
1,6,12,cratmono,3,110.3,6.1,0.00,0.00,0.44,0.00,5.48,0.10,0.03,0.92,2.64,0.11,0.05,0.68,0.94,0.99,1.00,320,19116,378,116.4,15.8,6.55,2.81,3.08,1.32,0.11,0.03,0.14,6.11,2.81,0.44,0.00,
1,6,12,querrobu,3,125.9,5.3,0.00,0.00,0.38,0.00,5.48,0.10,0.05,0.89,3.14,0.20,0.05,0.68,0.75,0.99,1.00,482,32682,387,131.2,15.8,7.32,3.94,3.44,1.85,0.12,0.00,0.12,6.94,3.94,0.38,0.00,
1,6,12,fagusylv,3,125.8,5.3,0.00,0.00,0.38,0.00,5.48,0.10,0.05,0.89,3.14,0.08,0.05,0.68,0.75,0.99,1.00,482,32682,398,131.1,15.8,7.32,3.94,3.44,1.85,0.08,0.02,0.11,6.94,3.94,0.38,0.00,
2,7,12,cratmono,3,116.4,8.9,0.00,0.00,0.47,0.00,4.65,0.10,0.03,0.98,2.87,0.00,0.05,0.47,0.98,0.99,1.00,320,19116,408,125.3,17.7,4.68,2.00,2.20,0.94,0.00,0.10,0.10,4.21,2.00,0.47,0.00,
2,7,12,querrobu,3,132.9,9.2,0.00,0.00,0.40,0.00,4.65,0.10,0.06,0.98,3.16,0.08,0.05,0.47,0.88,0.99,1.00,482,32682,414,142.1,17.7,5.86,3.16,2.76,1.48,0.00,0.09,0.09,5.47,3.16,0.40,0.00,
2,7,12,fagusylv,3,132.7,9.2,0.00,0.00,0.40,0.00,4.65,0.10,0.06,0.98,3.16,0.00,0.05,0.47,0.88,0.99,1.00,482,32682,422,142.0,17.7,5.86,3.16,2.76,1.48,0.00,0.09,0.09,5.47,3.16,0.40,0.00,
2,8,12,cratmono,3,120.6,10.9,0.00,0.00,0.48,0.00,5.26,0.10,0.03,0.99,2.89,0.00,0.05,0.62,0.98,0.99,1.00,320,19116,431,131.5,17.3,6.22,2.67,2.92,1.25,0.00,0.13,0.13,5.74,2.67,0.48,0.00,
2,8,12,querrobu,3,138.3,12.4,0.00,0.00,0.41,0.00,5.26,0.10,0.06,0.99,3.18,0.08,0.05,0.62,0.86,0.99,1.00,482,32682,439,150.7,17.3,7.67,4.13,3.60,1.94,0.00,0.12,0.12,7.25,4.13,0.41,0.00,
2,8,12,fagusylv,3,138.2,12.4,0.00,0.00,0.41,0.00,5.26,0.10,0.06,0.99,3.18,0.00,0.05,0.62,0.86,0.99,1.00,482,32682,451,150.6,17.3,7.67,4.13,3.60,1.94,0.00,0.11,0.11,7.25,4.13,0.41,0.00,
2,9,12,cratmono,3,126.3,13.6,0.00,0.00,0.51,13.60,5.73,0.10,0.03,1.00,2.91,0.00,0.05,1.00,0.91,0.99,1.00,320,19116,462,139.9,14.9,9.24,3.96,4.34,1.86,0.00,0.19,0.19,8.73,-9.64,0.51,13.60,
2,9,12,querrobu,3,145.6,16.5,0.00,0.00,0.44,16.53,5.73,0.10,0.06,1.00,3.21,0.08,0.05,1.00,0.67,0.99,1.00,482,32682,462,162.1,14.9,9.60,5.17,4.51,2.43,0.00,0.15,0.15,9.17,-11.36,0.44,16.53,
2,9,12,fagusylv,3,145.5,16.5,0.00,0.00,0.44,16.53,5.73,0.10,0.06,1.00,3.20,0.00,0.05,1.00,0.67,0.99,1.00,482,32682,459,162.0,14.9,9.60,5.17,4.51,2.43,0.00,0.14,0.14,9.17,-11.36,0.44,16.53,
2,10,12,cratmono,3,135.1,4.0,0.00,0.00,0.54,3.96,8.15,0.10,0.03,0.81,2.91,0.25,0.05,1.00,0.75,0.99,1.00,320,19116,457,139.0,11.8,7.64,3.28,3.59,1.54,0.00,0.16,0.16,7.10,-0.68,0.54,3.96,
2,10,12,querrobu,3,154.7,5.2,0.00,0.00,0.46,5.17,8.15,0.10,0.07,0.89,3.21,0.25,0.05,1.00,0.39,0.99,1.00,482,32682,463,159.9,11.8,5.58,3.00,2.62,1.41,0.00,0.09,0.09,5.12,-2.17,0.46,5.17,
2,10,12,fagusylv,3,154.6,5.2,0.00,0.00,0.46,5.17,8.15,0.10,0.07,0.89,3.20,0.13,0.05,1.00,0.39,0.99,1.00,482,32682,466,159.8,11.8,5.58,3.00,2.62,1.41,0.00,0.08,0.08,5.12,-2.17,0.46,5.17,
2,11,12,cratmono,3,142.2,3.3,0.00,0.00,0.57,3.28,10.05,0.00,0.04,0.75,2.95,0.33,0.00,1.00,0.47,0.99,1.00,320,19116,469,145.4,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,-3.28,0.57,3.28,
2,11,12,querrobu,3,159.9,3.0,0.00,0.00,0.48,3.00,10.05,0.00,0.07,0.72,3.25,0.30,0.00,1.00,0.11,0.99,1.00,482,32682,465,162.9,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.48,-3.00,0.48,3.00,
2,11,12,fagusylv,3,159.7,3.0,0.00,0.00,0.48,3.00,10.05,0.00,0.07,0.72,3.25,0.17,0.00,1.00,0.11,0.99,1.00,482,32682,462,162.7,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.48,-3.00,0.48,3.00,
2,12,12,cratmono,3,141.6,0.0,0.00,0.00,0.57,0.00,11.50,0.00,0.04,0.00,3.04,0.39,0.00,1.00,0.31,0.99,1.00,320,19116,459,141.6,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.57,0.00,
2,12,12,querrobu,3,159.4,0.0,0.00,0.00,0.48,0.00,11.50,0.00,0.07,0.00,3.35,0.34,0.00,1.00,0.04,0.99,1.00,482,32682,459,159.4,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.48,0.00,0.48,0.00,
