Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco17, 12, 1, 4.7, 16.7, 15.64, 32.77, 17.13, 0.11, 0, 
1, 8, eco17, 12, 1, 5.8, 16.5, 20.53, 46.56, 26.03, 0.12, 0, 
1, 9, eco17, 12, 1, 6.8, 14.2, 27.67, 52.2, 24.53, 0.14, 0, 
1, 10, eco17, 12, 1, 9.3, 11.3, 18.35, 36.6, 18.25, 0.18, 0, 
1, 11, eco17, 12, 1, 9.6, 7.4, 0, 11.95, 11.95, 0.18, 0, 
1, 12, eco17, 12, 1, 9.7, 5.2, 0, 9.77, 9.77, 0.19, 0, 
1, 1, eco17, 12, 1, 9.1, 4.7, 0, 9.07, 9.07, 0.18, 0, 
1, 2, eco17, 12, 1, 6.5, 4.8, 0, 8.84, 8.84, 0.13, 0, 
1, 3, eco17, 12, 1, 6.2, 6.5, 0, 22.59, 22.59, 0.13, 0, 
1, 4, eco17, 12, 1, 5.3, 8.6, 10.57, 31.72, 21.15, 0.11, 0, 
1, 5, eco17, 12, 1, 5.2, 11.7, 20.01, 35.93, 15.92, 0.11, 0, 
1, 6, eco17, 12, 1, 5.4, 14.7, 19.23, 36.35, 17.12, 0.12, 0, 
2, 7, eco17, 12, 1, 4.7, 16.7, 14.91, 27.91, 13, 0.11, 0, 
2, 8, eco17, 12, 1, 5.8, 16.5, 19.6, 40.24, 20.64, 0.12, 0, 
2, 9, eco17, 12, 1, 6.8, 14.2, 25.79, 46.11, 20.32, 0.14, 0, 
2, 10, eco17, 12, 1, 9.3, 11.3, 16.94, 33.01, 16.07, 0.18, 0, 
2, 11, eco17, 12, 1, 9.6, 7.4, 0, 10.77, 10.77, 0.18, 0, 
2, 12, eco17, 12, 1, 9.7, 5.2, 0, 8.91, 8.91, 0.19, 0, 
2, 1, eco17, 12, 1, 9.1, 4.7, 0, 8.32, 8.32, 0.18, 0, 
2, 2, eco17, 12, 1, 6.5, 4.8, 0, 8.13, 8.13, 0.13, 0, 
2, 3, eco17, 12, 1, 6.2, 6.5, 0, 20.98, 20.98, 0.13, 0, 
2, 4, eco17, 12, 1, 5.3, 8.6, 9.71, 29.23, 19.52, 0.11, 0, 
2, 5, eco17, 12, 1, 5.2, 11.7, 18.43, 32.82, 14.39, 0.11, 0, 
2, 6, eco17, 12, 1, 5.4, 14.7, 18.25, 33.14, 14.9, 0.12, 0, 
3, 7, eco17, 12, 1, 4.7, 16.7, 14.54, 25.49, 10.95, 0.11, 0, 
3, 8, eco17, 12, 1, 5.8, 16.5, 19.11, 36.94, 17.83, 0.12, 0, 
3, 9, eco17, 12, 1, 6.8, 14.2, 24.81, 42.76, 17.96, 0.14, 0, 
3, 10, eco17, 12, 1, 9.3, 11.3, 16.32, 30.96, 14.64, 0.18, 0, 
3, 11, eco17, 12, 1, 9.6, 7.4, 0, 10.25, 10.25, 0.18, 0, 
3, 12, eco17, 12, 1, 9.7, 5.2, 0, 8.53, 8.53, 0.19, 0, 
3, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.97, 7.97, 0.18, 0, 
3, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.79, 7.79, 0.13, 0, 
3, 3, eco17, 12, 1, 6.2, 6.5, 0, 19.91, 19.91, 0.13, 0, 
3, 4, eco17, 12, 1, 5.3, 8.6, 9.4, 27.55, 18.16, 0.11, 0, 
3, 5, eco17, 12, 1, 5.2, 11.7, 17.67, 30.72, 13.05, 0.11, 0, 
3, 6, eco17, 12, 1, 5.4, 14.7, 17.77, 30.99, 13.22, 0.12, 0, 
4, 7, eco17, 12, 1, 4.7, 16.7, 14.49, 23.94, 9.45, 0.11, 0, 
4, 8, eco17, 12, 1, 5.8, 16.5, 19.09, 34.86, 15.77, 0.12, 0, 
4, 9, eco17, 12, 1, 6.8, 14.2, 24.69, 40.73, 16.04, 0.14, 0, 
4, 10, eco17, 12, 1, 9.3, 11.3, 16.27, 29.58, 13.3, 0.18, 0, 
4, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.91, 9.91, 0.18, 0, 
4, 12, eco17, 12, 1, 9.7, 5.2, 0, 8.23, 8.23, 0.19, 0, 
4, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.7, 7.7, 0.18, 0, 
4, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.52, 7.52, 0.13, 0, 
4, 3, eco17, 12, 1, 6.2, 6.5, 0, 19.02, 19.02, 0.13, 0, 
4, 4, eco17, 12, 1, 5.3, 8.6, 9.36, 26.25, 16.89, 0.11, 0, 
4, 5, eco17, 12, 1, 5.2, 11.7, 17.61, 29.25, 11.64, 0.11, 0, 
4, 6, eco17, 12, 1, 5.4, 14.7, 17.8, 29.53, 11.73, 0.12, 0, 
5, 7, eco17, 12, 1, 4.7, 16.7, 14.66, 22.8, 8.14, 0.11, 0, 
5, 8, eco17, 12, 1, 5.8, 16.5, 19.69, 33.2, 13.51, 0.12, 0, 
5, 9, eco17, 12, 1, 6.8, 14.2, 25.83, 39.07, 13.24, 0.14, 0, 
5, 10, eco17, 12, 1, 9.3, 11.3, 16.27, 28.45, 12.18, 0.18, 0, 
5, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.66, 9.66, 0.18, 0, 
5, 12, eco17, 12, 1, 9.7, 5.2, 0, 8.02, 8.02, 0.19, 0, 
5, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.48, 7.48, 0.18, 0, 
5, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.3, 7.3, 0.13, 0, 
5, 3, eco17, 12, 1, 6.2, 6.5, 0, 18.22, 18.22, 0.13, 0, 
5, 4, eco17, 12, 1, 5.3, 8.6, 9.36, 25.09, 15.73, 0.11, 0, 
5, 5, eco17, 12, 1, 5.2, 11.7, 17.6, 27.94, 10.33, 0.11, 0, 
5, 6, eco17, 12, 1, 5.4, 14.7, 17.81, 28.19, 10.38, 0.12, 0, 
6, 7, eco17, 12, 1, 4.7, 16.7, 15.99, 21.75, 5.76, 0.11, 0, 
6, 8, eco17, 12, 1, 5.8, 16.5, 21.62, 31.68, 10.06, 0.12, 0, 
6, 9, eco17, 12, 1, 6.8, 14.2, 28.26, 37.71, 9.45, 0.14, 0, 
6, 10, eco17, 12, 1, 9.3, 11.3, 17.79, 27.57, 9.78, 0.18, 0, 
6, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.59, 9.59, 0.18, 0, 
6, 12, eco17, 12, 1, 9.7, 5.2, 0, 7.92, 7.92, 0.19, 0, 
6, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.37, 7.37, 0.18, 0, 
6, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.17, 7.17, 0.13, 0, 
6, 3, eco17, 12, 1, 6.2, 6.5, 0, 17.56, 17.56, 0.13, 0, 
6, 4, eco17, 12, 1, 5.3, 8.6, 9.36, 24.09, 14.73, 0.11, 0, 
6, 5, eco17, 12, 1, 5.2, 11.7, 17.6, 26.79, 9.19, 0.11, 0, 
6, 6, eco17, 12, 1, 5.4, 14.7, 18.97, 27.01, 8.04, 0.12, 0, 
7, 7, eco17, 12, 1, 4.7, 16.7, 17.59, 20.82, 3.23, 0.11, 0, 
7, 8, eco17, 12, 1, 5.8, 16.5, 23.75, 30.31, 6.56, 0.12, 0, 
7, 9, eco17, 12, 1, 6.8, 14.2, 30.9, 36.61, 5.71, 0.14, 0, 
7, 10, eco17, 12, 1, 9.3, 11.3, 19.55, 26.87, 7.32, 0.18, 0, 
7, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.59, 9.59, 0.18, 0, 
7, 12, eco17, 12, 1, 9.7, 5.2, 0, 7.89, 7.89, 0.19, 0, 
7, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.32, 7.32, 0.18, 0, 
7, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.1, 7.1, 0.13, 0, 
7, 3, eco17, 12, 1, 6.2, 6.5, 0, 17, 17, 0.13, 0, 
7, 4, eco17, 12, 1, 5.3, 8.6, 9.36, 23.21, 13.86, 0.11, 0, 
7, 5, eco17, 12, 1, 5.2, 11.7, 17.6, 25.78, 8.18, 0.11, 0, 
7, 6, eco17, 12, 1, 5.4, 14.7, 20.67, 25.95, 5.28, 0.12, 0, 
8, 7, eco17, 12, 1, 4.7, 16.7, 19.35, 19.98, 0.62, 0.11, 0, 
8, 8, eco17, 12, 1, 5.8, 16.5, 26.07, 29.07, 3, 0.12, 0, 
8, 9, eco17, 12, 1, 6.8, 14.2, 33.78, 35.7, 1.92, 0.14, 0, 
8, 10, eco17, 12, 1, 9.3, 11.3, 21.44, 26.3, 4.87, 0.18, 0, 
8, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.65, 9.65, 0.18, 0, 
8, 12, eco17, 12, 1, 9.7, 5.2, 0, 7.9, 7.9, 0.19, 0, 
8, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.3, 7.3, 0.18, 0, 
8, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.07, 7.07, 0.13, 0, 
8, 3, eco17, 12, 1, 6.2, 6.5, 0, 16.51, 16.51, 0.13, 0, 
8, 4, eco17, 12, 1, 5.3, 8.6, 9.35, 22.43, 13.08, 0.11, 0, 
8, 5, eco17, 12, 1, 5.2, 11.7, 17.6, 24.87, 7.28, 0.11, 0, 
8, 6, eco17, 12, 1, 5.4, 14.7, 22.51, 25, 2.49, 0.12, 0, 
9, 7, eco17, 12, 1, 4.7, 16.7, 21.28, 19.22, -2.06, 0.11, 0, 
9, 8, eco17, 12, 1, 5.8, 16.5, 28.59, 27.96, -0.63, 0.12, 0, 
9, 9, eco17, 12, 1, 6.8, 14.2, 36.9, 34.94, -1.96, 0.14, 0, 
9, 10, eco17, 12, 1, 9.3, 11.3, 23.45, 25.86, 2.4, 0.18, 0, 
9, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.76, 9.76, 0.18, 0, 
9, 12, eco17, 12, 1, 9.7, 5.2, 0, 7.95, 7.95, 0.19, 0, 
9, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.33, 7.33, 0.18, 0, 
9, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.07, 7.07, 0.13, 0, 
9, 3, eco17, 12, 1, 6.2, 6.5, 0, 16.1, 16.1, 0.13, 0, 
9, 4, eco17, 12, 1, 5.3, 8.6, 9.35, 21.75, 12.4, 0.11, 0, 
9, 5, eco17, 12, 1, 5.2, 11.7, 17.59, 24.07, 6.48, 0.11, 0, 
9, 6, eco17, 12, 1, 5.4, 14.7, 24.52, 24.15, -0.36, 0.12, 0, 
10, 7, eco17, 12, 1, 4.7, 16.7, 23.36, 18.54, -4.82, 0.11, 0, 
10, 8, eco17, 12, 1, 5.8, 16.5, 31.32, 26.96, -4.36, 0.12, 0, 
10, 9, eco17, 12, 1, 6.8, 14.2, 40.35, 34.34, -6.01, 0.14, 0, 
10, 10, eco17, 12, 1, 9.3, 11.3, 25.6, 25.53, -0.07, 0.18, 0, 
10, 11, eco17, 12, 1, 9.6, 7.4, 0, 9.92, 9.92, 0.18, 0, 
10, 12, eco17, 12, 1, 9.7, 5.2, 0, 8.04, 8.04, 0.19, 0, 
10, 1, eco17, 12, 1, 9.1, 4.7, 0, 7.38, 7.38, 0.18, 0, 
10, 2, eco17, 12, 1, 6.5, 4.8, 0, 7.1, 7.1, 0.13, 0, 
10, 3, eco17, 12, 1, 6.2, 6.5, 0, 15.75, 15.75, 0.13, 0, 
10, 4, eco17, 12, 1, 5.3, 8.6, 9.35, 21.16, 11.82, 0.11, 0, 
10, 5, eco17, 12, 1, 5.2, 11.7, 17.59, 23.37, 5.79, 0.11, 0, 
10, 6, eco17, 12, 1, 5.4, 14.7, 26.69, 23.41, -3.28, 0.12, 0, 
11, 7, eco17, 12, 1, 4.7, 16.7, 25.74, 17.94, -7.8, 0.11, 0, 
11, 8, eco17, 12, 1, 5.8, 16.5, 34.56, 26.07, -8.48, 0.12, 0, 
11, 9, eco17, 12, 1, 6.8, 14.2, 44.52, 33.91, -10.61, 0.14, 0, 
11, 10, eco17, 12, 1, 9.3, 11.3, 27.88, 25.36, -2.52, 0.18, 0, 
11, 11, eco17, 12, 1, 9.6, 7.4, 0, 10.15, 10.15, 0.18, 0, 
11, 12, eco17, 12, 1, 9.7, 5.2, 0, 8.19, 8.19, 0.19, 0, 
