Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,NEE_measured
1,7, eco17,12,1,4.7,16.7,210.23,66.94,-143.29,0.11,0,-222.8178251
1,8, eco17,12,1,5.8,16.5,195.67,97.38,-98.29,0.12,0,-165.7969523
1,9, eco17,12,1,6.8,14.2,232.05,140.59,-91.47,0.14,0,-72.15944508
1,10, eco17,12,1,9.3,11.3,196.51,107.46,-89.05,0.18,0,-16.98998566
1,11, eco17,12,1,9.6,7.4,6.44,60.26,53.81,0.18,0,62.27454463
1,12, eco17,12,1,9.7,5.2,4.48,48.53,44.05,0.19,0,60.60872887
1,1, eco17,12,1,9.1,4.7,4.1,44.46,40.35,0.18,0,54.38257855
1,2, eco17,12,1,6.5,4.8,4.2,42.74,38.54,0.13,0,34.33232218
1,3, eco17,12,1,6.2,6.5,5.66,65.39,59.72,0.13,0,47.58882235
1,4, eco17,12,1,5.3,8.6,52.62,80.44,27.82,0.11,0,49.37538773
1,5, eco17,12,1,5.2,11.7,134.52,87.73,-46.78,0.11,0,-15.00090775
1,6, eco17,12,1,5.4,14.7,244.77,86.65,-158.13,0.12,0,-173.3065306
2,7, eco17,12,1,4.7,16.7,206.25,65.38,-140.88,0.11,0,-244.6685708
2,8, eco17,12,1,5.8,16.5,198.95,95.38,-103.58,0.12,0,-176.6829428
2,9, eco17,12,1,6.8,14.2,235.86,148.88,-86.97,0.14,0,-103.6175641
2,10, eco17,12,1,9.3,11.3,198.32,111.71,-86.61,0.18,0,-4.732410312
2,11, eco17,12,1,9.6,7.4,6.26,62.2,55.94,0.18,0,73.43038822
2,12, eco17,12,1,9.7,5.2,4.35,49.84,45.49,0.19,0,88.45220606
2,1, eco17,12,1,9.1,4.7,3.99,45.49,41.5,0.18,0,54.58358794
2,2, eco17,12,1,6.5,4.8,4.08,43.59,39.5,0.13,0,40.37741827
2,3, eco17,12,1,6.2,6.5,5.51,66.51,61,0.13,0,55.43104018
2,4, eco17,12,1,5.3,8.6,52.11,81.61,29.5,0.11,0,43.2408389
2,5, eco17,12,1,5.2,11.7,134.74,88.75,-45.99,0.11,0,-21.61100606
2,6, eco17,12,1,5.4,14.7,247.76,87.42,-160.34,0.12,0,-212.0317854
3,7, eco17,12,1,4.7,16.7,218.33,65.83,-152.5,0.11,0,-243.9136683
3,8, eco17,12,1,5.8,16.5,204.8,95.92,-108.88,0.12,0,-185.9658251
3,9, eco17,12,1,6.8,14.2,241.16,150.75,-90.42,0.14,0,-143.8781815
3,10, eco17,12,1,9.3,11.3,200.6,112.98,-87.63,0.18,0,4.076921592
3,11, eco17,12,1,9.6,7.4,6.05,62.77,56.72,0.18,0,40.86724039
3,12, eco17,12,1,9.7,5.2,4.22,50.24,46.02,0.19,0,44.14166086
3,1, eco17,12,1,9.1,4.7,3.86,45.8,41.94,0.18,0,49.90001544
3,2, eco17,12,1,6.5,4.8,3.96,43.85,39.89,0.13,0,43.55875397
3,3, eco17,12,1,6.2,6.5,5.34,66.97,61.63,0.13,0,52.7272429
3,4, eco17,12,1,5.3,8.6,51.55,82.15,30.6,0.11,0,48.00208759
3,5, eco17,12,1,5.2,11.7,134.9,89.27,-45.63,0.11,0,-14.5700303
3,6, eco17,12,1,5.4,14.7,250.75,87.87,-162.88,0.12,0,-251.7261814
4,7, eco17,12,1,4.7,16.7,223.91,66.14,-157.77,0.11,0,-220.2551238
4,8, eco17,12,1,5.8,16.5,204.03,96.34,-107.69,0.12,0,-154.1548202
4,9, eco17,12,1,6.8,14.2,246,151.7,-94.29,0.14,0,-143.905232
4,10, eco17,12,1,9.3,11.3,202.78,113.81,-88.97,0.18,0,-29.14370669
4,11, eco17,12,1,9.6,7.4,5.83,63.18,57.35,0.18,0,87.69040906
4,12, eco17,12,1,9.7,5.2,4.06,50.54,46.47,0.19,0,74.1984935
4,1, eco17,12,1,9.1,4.7,3.73,46.06,42.33,0.18,0,59.61769495
4,2, eco17,12,1,6.5,4.8,3.82,44.08,40.26,0.13,0,54.02787523
4,3, eco17,12,1,6.2,6.5,5.16,67.38,62.22,0.13,0,56.86641223
4,4, eco17,12,1,5.3,8.6,50.96,82.67,31.71,0.11,0,42.35565168
4,5, eco17,12,1,5.2,11.7,134.97,89.81,-45.16,0.11,0,-19.33683732
4,6, eco17,12,1,5.4,14.7,253.58,88.38,-165.19,0.12,0,-219.8643798
5,7, eco17,12,1,4.7,16.7,227.82,66.52,-161.3,0.11,0,-263.0053707
5,8, eco17,12,1,5.8,16.5,209.17,96.88,-112.29,0.12,0,-213.2104131
5,9, eco17,12,1,6.8,14.2,250.61,153.12,-97.49,0.14,0,-152.0012799
5,10, eco17,12,1,9.3,11.3,204.85,114.94,-89.91,0.18,0,-43.23733754
5,11, eco17,12,1,9.6,7.4,5.59,63.78,58.19,0.18,0,92.21950224
5,12, eco17,12,1,9.7,5.2,3.9,50.99,47.09,0.19,0,68.11336008
5,1, eco17,12,1,9.1,4.7,3.58,46.46,42.88,0.18,0,57.06338522
5,2, eco17,12,1,6.5,4.8,3.67,44.45,40.78,0.13,0,41.04912902
5,3, eco17,12,1,6.2,6.5,4.97,67.96,62.99,0.13,0,51.68210983
5,4, eco17,12,1,5.3,8.6,50.32,83.36,33.04,0.11,0,49.29720934
5,5, eco17,12,1,5.2,11.7,134.94,90.54,-44.4,0.11,0,-32.62195166
5,6, eco17,12,1,5.4,14.7,256.27,89.09,-167.18,0.12,0,-272.4144893
6,7, eco17,12,1,4.7,16.7,231.96,67.04,-164.91,0.11,0,-264.981759
6,8, eco17,12,1,5.8,16.5,215.99,97.64,-118.35,0.12,0,-167.5065256
6,9, eco17,12,1,6.8,14.2,255.05,154.87,-100.18,0.14,0,-90.77556341
6,10, eco17,12,1,9.3,11.3,206.85,116.3,-90.55,0.18,0,10.82549945
6,11, eco17,12,1,9.6,7.4,5.33,64.53,59.2,0.18,0,53.39480494
6,12, eco17,12,1,9.7,5.2,3.72,51.57,47.85,0.19,0,55.30503506
6,1, eco17,12,1,9.1,4.7,3.42,46.97,43.55,0.18,0,54.47304605
6,2, eco17,12,1,6.5,4.8,3.51,44.93,41.42,0.13,0,42.6863911
6,3, eco17,12,1,6.2,6.5,4.76,68.65,63.9,0.13,0,43.11322546
6,4, eco17,12,1,5.3,8.6,49.64,84.2,34.56,0.11,0,63.0080478
6,5, eco17,12,1,5.2,11.7,134.82,91.43,-43.39,0.11,0,-80.79435007
6,6, eco17,12,1,5.4,14.7,258.78,89.96,-168.82,0.12,0,-320.147148
7,7, eco17,12,1,4.7,16.7,236.19,67.69,-168.5,0.11,0,-224.2715785
7,8, eco17,12,1,5.8,16.5,223.14,98.58,-124.56,0.12,0,-240.5023404
7,9, eco17,12,1,6.8,14.2,259.3,156.82,-102.48,0.14,0,-161.2692597
7,10, eco17,12,1,9.3,11.3,208.7,117.8,-90.9,0.18,0,-9.222392808
7,11, eco17,12,1,9.6,7.4,5.05,65.38,60.33,0.18,0,33.32814422
7,12, eco17,12,1,9.7,5.2,3.53,52.23,48.69,0.19,0,47.17492207
7,1, eco17,12,1,9.1,4.7,3.25,47.56,44.31,0.18,0,59.18403175
7,2, eco17,12,1,6.5,4.8,3.34,45.48,42.14,0.13,0,45.79981121
7,3, eco17,12,1,6.2,6.5,4.53,69.44,64.91,0.13,0,53.58222943
7,4, eco17,12,1,5.3,8.6,48.91,85.13,36.22,0.11,0,59.62847422
7,5, eco17,12,1,5.2,11.7,134.71,92.43,-42.28,0.11,0,-6.686116056
7,6, eco17,12,1,5.4,14.7,261.19,90.93,-170.26,0.12,0,-207.5784728
8,7, eco17,12,1,4.7,16.7,240.36,68.42,-171.94,0.11,0,-192.6835763
8,8, eco17,12,1,5.8,16.5,229.74,99.64,-130.1,0.12,0,-182.5827005
8,9, eco17,12,1,6.8,14.2,263.33,158.86,-104.47,0.14,0,-98.12636827
8,10, eco17,12,1,9.3,11.3,210.37,119.38,-90.99,0.18,0,-6.099350112
8,11, eco17,12,1,9.6,7.4,4.74,66.26,61.52,0.18,0,52.62454159
8,12, eco17,12,1,9.7,5.2,3.32,52.92,49.6,0.19,0,56.63747297
8,1, eco17,12,1,9.1,4.7,3.06,48.18,45.12,0.18,0,36.89313523
8,2, eco17,12,1,6.5,4.8,3.15,46.07,42.92,0.13,0,18.16821446
8,3, eco17,12,1,6.2,6.5,4.28,70.27,65.99,0.13,0,38.53723306
8,4, eco17,12,1,5.3,8.6,48.12,86.12,38,0.11,0,45.58685832
8,5, eco17,12,1,5.2,11.7,134.47,93.5,-40.97,0.11,0,-7.031350368
8,6, eco17,12,1,5.4,14.7,263.41,91.98,-171.43,0.12,0,-249.5517757
9,7, eco17,12,1,4.7,16.7,244.3,69.2,-175.1,0.11,0,-229.8465411
9,8, eco17,12,1,5.8,16.5,235.55,100.78,-134.77,0.12,0,-163.2604799
9,9, eco17,12,1,6.8,14.2,267.11,160.91,-106.21,0.14,0,-131.1148601
9,10, eco17,12,1,9.3,11.3,211.85,120.96,-90.88,0.18,0,-1.377265248
9,11, eco17,12,1,9.6,7.4,4.41,67.15,62.75,0.18,0,47.02977461
