Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco17, 12, 1, 4.7, 16.7, 150.42, 80.82, -69.6, 0.11, 0, 
1, 8, eco17, 12, 1, 5.8, 16.5, 260.55, 117.66, -142.89, 0.12, 0, 
1, 9, eco17, 12, 1, 6.8, 14.2, 349.61, 155.82, -193.79, 0.14, 0, 
1, 10, eco17, 12, 1, 9.3, 11.3, 259.31, 127.23, -132.08, 0.18, 0, 
1, 11, eco17, 12, 1, 9.6, 7.4, 0, 71.6, 71.6, 0.18, 0, 
1, 12, eco17, 12, 1, 9.7, 5.2, 0, 57.6, 57.6, 0.19, 0, 
1, 1, eco17, 12, 1, 9.1, 4.7, 0, 52.67, 52.67, 0.18, 0, 
1, 2, eco17, 12, 1, 6.5, 4.8, 0, 50.53, 50.53, 0.13, 0, 
1, 3, eco17, 12, 1, 6.2, 6.5, 0, 78.41, 78.41, 0.13, 0, 
1, 4, eco17, 12, 1, 5.3, 8.6, 38.19, 96.88, 58.69, 0.11, 0, 
1, 5, eco17, 12, 1, 5.2, 11.7, 103.27, 105.83, 2.56, 0.11, 0, 
1, 6, eco17, 12, 1, 5.4, 14.7, 192.71, 104.79, -87.92, 0.12, 0, 
2, 7, eco17, 12, 1, 4.7, 16.7, 180.5, 79.27, -101.24, 0.11, 0, 
2, 8, eco17, 12, 1, 5.8, 16.5, 255.83, 115.54, -140.29, 0.12, 0, 
2, 9, eco17, 12, 1, 6.8, 14.2, 335.79, 167.75, -168.04, 0.14, 0, 
2, 10, eco17, 12, 1, 9.3, 11.3, 246.45, 132.32, -114.12, 0.18, 0, 
2, 11, eco17, 12, 1, 9.6, 7.4, 0, 73.49, 73.49, 0.18, 0, 
2, 12, eco17, 12, 1, 9.7, 5.2, 0, 58.85, 58.85, 0.19, 0, 
2, 1, eco17, 12, 1, 9.1, 4.7, 0, 53.61, 53.61, 0.18, 0, 
2, 2, eco17, 12, 1, 6.5, 4.8, 0, 51.27, 51.27, 0.13, 0, 
2, 3, eco17, 12, 1, 6.2, 6.5, 0, 79.26, 79.26, 0.13, 0, 
2, 4, eco17, 12, 1, 5.3, 8.6, 36.23, 97.66, 61.43, 0.11, 0, 
2, 5, eco17, 12, 1, 5.2, 11.7, 96.37, 106.41, 10.03, 0.11, 0, 
2, 6, eco17, 12, 1, 5.4, 14.7, 180.42, 105.1, -75.32, 0.12, 0, 
3, 7, eco17, 12, 1, 4.7, 16.7, 172.15, 79.35, -92.81, 0.11, 0, 
3, 8, eco17, 12, 1, 5.8, 16.5, 244.42, 115.5, -128.92, 0.12, 0, 
3, 9, eco17, 12, 1, 6.8, 14.2, 330.46, 164.83, -165.64, 0.14, 0, 
3, 10, eco17, 12, 1, 9.3, 11.3, 235.33, 130.36, -104.97, 0.18, 0, 
3, 11, eco17, 12, 1, 9.6, 7.4, 0, 71.93, 71.93, 0.18, 0, 
3, 12, eco17, 12, 1, 9.7, 5.2, 0, 57.67, 57.67, 0.19, 0, 
3, 1, eco17, 12, 1, 9.1, 4.7, 0, 52.58, 52.58, 0.18, 0, 
3, 2, eco17, 12, 1, 6.5, 4.8, 0, 50.32, 50.32, 0.13, 0, 
3, 3, eco17, 12, 1, 6.2, 6.5, 0, 78.18, 78.18, 0.13, 0, 
3, 4, eco17, 12, 1, 5.3, 8.6, 34.47, 96.52, 62.04, 0.11, 0, 
3, 5, eco17, 12, 1, 5.2, 11.7, 90.2, 105.24, 15.05, 0.11, 0, 
3, 6, eco17, 12, 1, 5.4, 14.7, 168.97, 104.03, -64.94, 0.12, 0, 
