Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitCapacity, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,7,12,fraxexce,2,96.0,11.2,0.00,0.00,0.29,0.00,4.64,0.10,0.04,0.99,1.85,0.00,0.05,1.00,0.88,0.99,1.00,482,32682,409,107.2,17.7,12.56,6.76,5.90,3.18,0.00,0.29,0.29,12.27,6.76,0.29,0.00,
1,7,12,cratmono,2,79.3,10.2,0.00,0.00,0.32,0.00,4.64,0.10,0.02,0.99,1.59,0.00,0.05,1.00,0.98,0.99,1.00,320,19116,428,89.5,17.7,10.02,4.30,4.71,2.02,0.00,0.21,0.21,9.70,4.30,0.32,0.00,
1,7,12,fagusylv,2,95.8,11.2,0.00,0.00,0.29,0.00,4.64,0.10,0.04,0.99,1.85,0.02,0.05,1.00,0.88,0.99,1.00,482,32682,442,107.0,17.7,12.56,6.76,5.90,3.18,0.00,0.19,0.19,12.27,6.76,0.29,0.00,
1,7,12,querrobu,2,95.6,11.2,0.00,0.00,0.29,0.00,4.64,0.10,0.04,0.99,1.85,0.09,0.05,1.00,0.88,0.99,1.00,482,32682,461,106.9,17.7,12.56,6.76,5.90,3.18,0.00,0.20,0.20,12.27,6.76,0.29,0.00,
1,8,12,fraxexce,2,108.2,18.0,0.00,0.00,0.32,0.00,5.27,0.10,0.05,1.00,1.68,0.00,0.05,1.00,0.84,0.99,1.00,482,32682,480,126.2,17.1,12.04,6.48,5.66,3.05,0.00,0.28,0.28,11.71,6.48,0.32,0.00,
1,8,12,cratmono,2,89.0,14.5,0.00,0.00,0.36,0.00,5.27,0.10,0.02,1.00,1.44,0.00,0.05,1.00,0.97,0.99,1.00,320,19116,498,103.5,17.1,9.91,4.25,4.66,2.00,0.00,0.21,0.21,9.55,4.25,0.36,0.00,
1,8,12,fagusylv,2,108.0,18.0,0.00,0.00,0.32,0.00,5.27,0.10,0.05,1.00,1.67,0.02,0.05,1.00,0.84,0.99,1.00,482,32682,512,126.0,17.1,12.04,6.48,5.66,3.05,0.00,0.18,0.18,11.71,6.48,0.32,0.00,
1,8,12,querrobu,2,107.9,18.0,0.00,0.00,0.32,0.00,5.27,0.10,0.05,1.00,1.67,0.09,0.05,1.00,0.84,0.99,1.00,482,32682,530,125.9,17.1,12.04,6.48,5.66,3.05,0.00,0.19,0.19,11.71,6.48,0.32,0.00,
1,9,12,fraxexce,2,119.9,24.5,0.00,0.00,0.36,24.49,5.74,0.10,0.05,1.00,1.52,0.00,0.05,1.00,0.65,0.99,1.00,482,32682,549,144.4,14.6,9.23,4.97,4.34,2.34,0.00,0.21,0.21,8.87,-19.52,0.36,24.49,
1,9,12,cratmono,2,98.6,18.7,0.00,0.00,0.39,18.74,5.74,0.10,0.03,1.00,1.30,0.00,0.05,1.00,0.89,0.99,1.00,320,19116,538,117.3,14.6,9.12,3.91,4.28,1.84,0.00,0.19,0.19,8.72,-14.83,0.39,18.74,
