Time, Ecoregion, Species, TempMult, MinJanTempMult, SoilMoistureMult, OtherAdjustMult, ProbEst
1, eco17, abiegran,0.52,1.00,0.00,0.20,0.00
1, eco17, acercamp,1.00,1.00,0.00,0.20,0.00
1, eco17, acerpseu,1.00,1.00,0.00,0.20,0.00
1, eco17, alnuglut,0.99,1.00,0.20,0.20,0.04
1, eco17, betupend,0.70,1.00,0.00,0.20,0.00
1, eco17, carpbetu,0.95,1.00,0.32,0.20,0.06
1, eco17, castsati,0.95,1.00,0.00,0.20,0.00
1, eco17, chamlaws,1.00,1.00,0.00,0.20,0.00
1, eco17, coryavel,0.99,1.00,0.00,0.20,0.00
1, eco17, cratmono,0.95,1.00,0.00,0.20,0.00
1, eco17, fagusylv,0.99,1.00,0.00,0.20,0.00
1, eco17, franalnu,0.95,1.00,0.20,0.20,0.04
1, eco17, fraxexce,0.99,1.00,0.00,0.20,0.00
1, eco17, ilexaqui,0.99,1.00,0.00,0.20,0.00
1, eco17, larideci,0.37,1.00,0.00,0.20,0.00
1, eco17, malusylv,0.95,1.00,0.00,0.20,0.00
1, eco17, piceabie,0.00,1.00,0.00,0.20,0.00
1, eco17, picesitc,0.00,1.00,0.00,0.20,0.00
1, eco17, pinunigr,0.00,1.00,0.55,0.20,0.00
1, eco17, pinupond,0.00,1.00,0.55,0.20,0.00
1, eco17, pinusylv,0.29,1.00,0.59,0.20,0.06
1, eco17, popualba,0.66,1.00,0.00,0.20,0.00
1, eco17, prunspin,0.95,1.00,0.32,0.20,0.06
1, eco17, pseumenz,0.64,1.00,0.00,0.20,0.00
1, eco17, querrobu,0.99,1.00,0.00,0.20,0.00
1, eco17, querrubr,0.99,1.00,0.00,0.20,0.00
1, eco17, salicine,0.11,1.00,0.48,0.20,0.02
1, eco17, sequsemp,0.26,1.00,0.48,0.20,0.05
1, eco17, sorbaria,1.00,1.00,0.32,0.20,0.06
1, eco17, sorbaucu,1.00,1.00,0.32,0.20,0.06
1, eco17, sorbtorm,0.95,1.00,0.32,0.20,0.06
1, eco17, taxubacc,0.99,1.00,0.32,0.20,0.06
1, eco17, tiliplat,0.96,1.00,0.00,0.20,0.00
1, eco17, tsughete,1.00,1.00,0.00,0.20,0.00
1, eco17, vibuopul,0.80,1.00,0.00,0.20,0.00
2, eco17, abiegran,0.52,1.00,0.00,0.20,0.00
2, eco17, acercamp,1.00,1.00,0.00,0.20,0.00
2, eco17, acerpseu,1.00,1.00,0.00,0.20,0.00
2, eco17, alnuglut,0.99,1.00,0.20,0.20,0.04
2, eco17, betupend,0.70,1.00,0.00,0.20,0.00
2, eco17, carpbetu,0.95,1.00,0.32,0.20,0.06
2, eco17, castsati,0.95,1.00,0.00,0.20,0.00
2, eco17, chamlaws,1.00,1.00,0.00,0.20,0.00
2, eco17, coryavel,0.99,1.00,0.00,0.20,0.00
2, eco17, cratmono,0.95,1.00,0.00,0.20,0.00
2, eco17, fagusylv,0.99,1.00,0.00,0.20,0.00
2, eco17, franalnu,0.95,1.00,0.20,0.20,0.04
2, eco17, fraxexce,0.99,1.00,0.00,0.20,0.00
2, eco17, ilexaqui,0.99,1.00,0.00,0.20,0.00
2, eco17, larideci,0.37,1.00,0.00,0.20,0.00
2, eco17, malusylv,0.95,1.00,0.00,0.20,0.00
2, eco17, piceabie,0.00,1.00,0.00,0.20,0.00
2, eco17, picesitc,0.00,1.00,0.00,0.20,0.00
2, eco17, pinunigr,0.00,1.00,0.55,0.20,0.00
2, eco17, pinupond,0.00,1.00,0.55,0.20,0.00
2, eco17, pinusylv,0.29,1.00,0.59,0.20,0.06
2, eco17, popualba,0.66,1.00,0.00,0.20,0.00
2, eco17, prunspin,0.95,1.00,0.32,0.20,0.06
2, eco17, pseumenz,0.64,1.00,0.00,0.20,0.00
2, eco17, querrobu,0.99,1.00,0.00,0.20,0.00
2, eco17, querrubr,0.99,1.00,0.00,0.20,0.00
2, eco17, salicine,0.11,1.00,0.48,0.20,0.02
2, eco17, sequsemp,0.26,1.00,0.48,0.20,0.05
2, eco17, sorbaria,1.00,1.00,0.32,0.20,0.06
2, eco17, sorbaucu,1.00,1.00,0.32,0.20,0.06
2, eco17, sorbtorm,0.95,1.00,0.32,0.20,0.06
2, eco17, taxubacc,0.99,1.00,0.32,0.20,0.06
2, eco17, tiliplat,0.96,1.00,0.00,0.20,0.00
2, eco17, tsughete,1.00,1.00,0.00,0.20,0.00
2, eco17, vibuopul,0.80,1.00,0.00,0.20,0.00
3, eco17, abiegran,0.52,1.00,0.00,0.20,0.00
3, eco17, acercamp,1.00,1.00,0.00,0.20,0.00
3, eco17, acerpseu,1.00,1.00,0.00,0.20,0.00
3, eco17, alnuglut,0.99,1.00,0.20,0.20,0.04
3, eco17, betupend,0.70,1.00,0.00,0.20,0.00
3, eco17, carpbetu,0.95,1.00,0.32,0.20,0.06
3, eco17, castsati,0.95,1.00,0.00,0.20,0.00
3, eco17, chamlaws,1.00,1.00,0.00,0.20,0.00
3, eco17, coryavel,0.99,1.00,0.00,0.20,0.00
3, eco17, cratmono,0.95,1.00,0.00,0.20,0.00
3, eco17, fagusylv,0.99,1.00,0.00,0.20,0.00
3, eco17, franalnu,0.95,1.00,0.20,0.20,0.04
3, eco17, fraxexce,0.99,1.00,0.00,0.20,0.00
3, eco17, ilexaqui,0.99,1.00,0.00,0.20,0.00
3, eco17, larideci,0.37,1.00,0.00,0.20,0.00
3, eco17, malusylv,0.95,1.00,0.00,0.20,0.00
3, eco17, piceabie,0.00,1.00,0.00,0.20,0.00
3, eco17, picesitc,0.00,1.00,0.00,0.20,0.00
3, eco17, pinunigr,0.00,1.00,0.55,0.20,0.00
3, eco17, pinupond,0.00,1.00,0.55,0.20,0.00
3, eco17, pinusylv,0.29,1.00,0.59,0.20,0.06
3, eco17, popualba,0.66,1.00,0.00,0.20,0.00
3, eco17, prunspin,0.95,1.00,0.32,0.20,0.06
3, eco17, pseumenz,0.64,1.00,0.00,0.20,0.00
3, eco17, querrobu,0.99,1.00,0.00,0.20,0.00
3, eco17, querrubr,0.99,1.00,0.00,0.20,0.00
3, eco17, salicine,0.11,1.00,0.48,0.20,0.02
3, eco17, sequsemp,0.26,1.00,0.48,0.20,0.05
3, eco17, sorbaria,1.00,1.00,0.32,0.20,0.06
3, eco17, sorbaucu,1.00,1.00,0.32,0.20,0.06
3, eco17, sorbtorm,0.95,1.00,0.32,0.20,0.06
3, eco17, taxubacc,0.99,1.00,0.32,0.20,0.06
3, eco17, tiliplat,0.96,1.00,0.00,0.20,0.00
3, eco17, tsughete,1.00,1.00,0.00,0.20,0.00
3, eco17, vibuopul,0.80,1.00,0.00,0.20,0.00
4, eco17, abiegran,0.52,1.00,0.00,0.20,0.00
4, eco17, acercamp,1.00,1.00,0.00,0.20,0.00
4, eco17, acerpseu,1.00,1.00,0.00,0.20,0.00
4, eco17, alnuglut,0.99,1.00,0.20,0.20,0.04
4, eco17, betupend,0.70,1.00,0.00,0.20,0.00
4, eco17, carpbetu,0.95,1.00,0.32,0.20,0.06
4, eco17, castsati,0.95,1.00,0.00,0.20,0.00
4, eco17, chamlaws,1.00,1.00,0.00,0.20,0.00
4, eco17, coryavel,0.99,1.00,0.00,0.20,0.00
4, eco17, cratmono,0.95,1.00,0.00,0.20,0.00
4, eco17, fagusylv,0.99,1.00,0.00,0.20,0.00
4, eco17, franalnu,0.95,1.00,0.20,0.20,0.04
4, eco17, fraxexce,0.99,1.00,0.00,0.20,0.00
4, eco17, ilexaqui,0.99,1.00,0.00,0.20,0.00
4, eco17, larideci,0.37,1.00,0.00,0.20,0.00
4, eco17, malusylv,0.95,1.00,0.00,0.20,0.00
4, eco17, piceabie,0.00,1.00,0.00,0.20,0.00
4, eco17, picesitc,0.00,1.00,0.00,0.20,0.00
4, eco17, pinunigr,0.00,1.00,0.55,0.20,0.00
4, eco17, pinupond,0.00,1.00,0.55,0.20,0.00
4, eco17, pinusylv,0.29,1.00,0.59,0.20,0.06
4, eco17, popualba,0.66,1.00,0.00,0.20,0.00
4, eco17, prunspin,0.95,1.00,0.32,0.20,0.06
4, eco17, pseumenz,0.64,1.00,0.00,0.20,0.00
4, eco17, querrobu,0.99,1.00,0.00,0.20,0.00
4, eco17, querrubr,0.99,1.00,0.00,0.20,0.00
4, eco17, salicine,0.11,1.00,0.48,0.20,0.02
4, eco17, sequsemp,0.26,1.00,0.48,0.20,0.05
4, eco17, sorbaria,1.00,1.00,0.32,0.20,0.06
4, eco17, sorbaucu,1.00,1.00,0.32,0.20,0.06
4, eco17, sorbtorm,0.95,1.00,0.32,0.20,0.06
4, eco17, taxubacc,0.99,1.00,0.32,0.20,0.06
4, eco17, tiliplat,0.96,1.00,0.00,0.20,0.00
4, eco17, tsughete,1.00,1.00,0.00,0.20,0.00
4, eco17, vibuopul,0.80,1.00,0.00,0.20,0.00
5, eco17, abiegran,0.52,1.00,0.00,0.20,0.00
5, eco17, acercamp,1.00,1.00,0.00,0.20,0.00
5, eco17, acerpseu,1.00,1.00,0.00,0.20,0.00
5, eco17, alnuglut,0.99,1.00,0.20,0.20,0.04
5, eco17, betupend,0.70,1.00,0.00,0.20,0.00
5, eco17, carpbetu,0.95,1.00,0.32,0.20,0.06
5, eco17, castsati,0.95,1.00,0.00,0.20,0.00
5, eco17, chamlaws,1.00,1.00,0.00,0.20,0.00
5, eco17, coryavel,0.99,1.00,0.00,0.20,0.00
5, eco17, cratmono,0.95,1.00,0.00,0.20,0.00
5, eco17, fagusylv,0.99,1.00,0.00,0.20,0.00
5, eco17, franalnu,0.95,1.00,0.20,0.20,0.04
5, eco17, fraxexce,0.99,1.00,0.00,0.20,0.00
5, eco17, ilexaqui,0.99,1.00,0.00,0.20,0.00
5, eco17, larideci,0.37,1.00,0.00,0.20,0.00
5, eco17, malusylv,0.95,1.00,0.00,0.20,0.00
5, eco17, piceabie,0.00,1.00,0.00,0.20,0.00
5, eco17, picesitc,0.00,1.00,0.00,0.20,0.00
5, eco17, pinunigr,0.00,1.00,0.55,0.20,0.00
5, eco17, pinupond,0.00,1.00,0.55,0.20,0.00
5, eco17, pinusylv,0.29,1.00,0.59,0.20,0.06
5, eco17, popualba,0.66,1.00,0.00,0.20,0.00
5, eco17, prunspin,0.95,1.00,0.32,0.20,0.06
5, eco17, pseumenz,0.64,1.00,0.00,0.20,0.00
5, eco17, querrobu,0.99,1.00,0.00,0.20,0.00
5, eco17, querrubr,0.99,1.00,0.00,0.20,0.00
5, eco17, salicine,0.11,1.00,0.48,0.20,0.02
5, eco17, sequsemp,0.26,1.00,0.48,0.20,0.05
5, eco17, sorbaria,1.00,1.00,0.32,0.20,0.06
5, eco17, sorbaucu,1.00,1.00,0.32,0.20,0.06
5, eco17, sorbtorm,0.95,1.00,0.32,0.20,0.06
5, eco17, taxubacc,0.99,1.00,0.32,0.20,0.06
5, eco17, tiliplat,0.96,1.00,0.00,0.20,0.00
5, eco17, tsughete,1.00,1.00,0.00,0.20,0.00
5, eco17, vibuopul,0.80,1.00,0.00,0.20,0.00
6, eco17, abiegran,0.52,1.00,0.00,0.20,0.00
6, eco17, acercamp,1.00,1.00,0.00,0.20,0.00
6, eco17, acerpseu,1.00,1.00,0.00,0.20,0.00
6, eco17, alnuglut,0.99,1.00,0.20,0.20,0.04
6, eco17, betupend,0.70,1.00,0.00,0.20,0.00
6, eco17, carpbetu,0.95,1.00,0.32,0.20,0.06
6, eco17, castsati,0.95,1.00,0.00,0.20,0.00
6, eco17, chamlaws,1.00,1.00,0.00,0.20,0.00
6, eco17, coryavel,0.99,1.00,0.00,0.20,0.00
6, eco17, cratmono,0.95,1.00,0.00,0.20,0.00
6, eco17, fagusylv,0.99,1.00,0.00,0.20,0.00
6, eco17, franalnu,0.95,1.00,0.20,0.20,0.04
6, eco17, fraxexce,0.99,1.00,0.00,0.20,0.00
6, eco17, ilexaqui,0.99,1.00,0.00,0.20,0.00
6, eco17, larideci,0.37,1.00,0.00,0.20,0.00
6, eco17, malusylv,0.95,1.00,0.00,0.20,0.00
6, eco17, piceabie,0.00,1.00,0.00,0.20,0.00
6, eco17, picesitc,0.00,1.00,0.00,0.20,0.00
6, eco17, pinunigr,0.00,1.00,0.55,0.20,0.00
6, eco17, pinupond,0.00,1.00,0.55,0.20,0.00
6, eco17, pinusylv,0.29,1.00,0.59,0.20,0.06
6, eco17, popualba,0.66,1.00,0.00,0.20,0.00
6, eco17, prunspin,0.95,1.00,0.32,0.20,0.06
6, eco17, pseumenz,0.64,1.00,0.00,0.20,0.00
6, eco17, querrobu,0.99,1.00,0.00,0.20,0.00
6, eco17, querrubr,0.99,1.00,0.00,0.20,0.00
6, eco17, salicine,0.11,1.00,0.48,0.20,0.02
