Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,NEE_measured
1,7, eco17,12,1,4.7,16.7,268.06,77.99,-190.07,0.11,0,-222.8178251
1,8, eco17,12,1,5.8,16.5,294.32,113.61,-180.7,0.12,0,-165.7969523
1,9, eco17,12,1,6.8,14.2,311.12,164.08,-147.05,0.14,0,-72.15944508
1,10, eco17,12,1,9.3,11.3,241.57,128.93,-112.64,0.18,0,-16.98998566
1,11, eco17,12,1,9.6,7.4,0,72.35,72.35,0.18,0,62.27454463
1,12, eco17,12,1,9.7,5.2,0,57.97,57.97,0.19,0,60.60872887
1,1, eco17,12,1,9.1,4.7,0,52.85,52.85,0.18,0,54.38257855
1,2, eco17,12,1,6.5,4.8,0,50.57,50.57,0.13,0,34.33232218
1,3, eco17,12,1,6.2,6.5,0,77.57,77.57,0.13,0,47.58882235
1,4, eco17,12,1,5.3,8.6,23.6,95.4,71.81,0.11,0,49.37538773
1,5, eco17,12,1,5.2,11.7,103.13,103.99,0.86,0.11,0,-15.00090775
1,6, eco17,12,1,5.4,14.7,282.58,102.75,-179.83,0.12,0,-173.3065306
2,7, eco17,12,1,4.7,16.7,263.5,77.58,-185.93,0.11,0,-244.6685708
2,8, eco17,12,1,5.8,16.5,275.11,112.98,-162.13,0.12,0,-176.6829428
2,9, eco17,12,1,6.8,14.2,291.44,177.33,-114.11,0.14,0,-103.6175641
2,10, eco17,12,1,9.3,11.3,224.33,134.58,-89.75,0.18,0,-4.732410312
2,11, eco17,12,1,9.6,7.4,0,74.37,74.37,0.18,0,73.43038822
2,12, eco17,12,1,9.7,5.2,0,59.36,59.36,0.19,0,88.45220606
2,1, eco17,12,1,9.1,4.7,0,53.93,53.93,0.18,0,54.58358794
2,2, eco17,12,1,6.5,4.8,0,51.45,51.45,0.13,0,40.37741827
2,3, eco17,12,1,6.2,6.5,0,78.65,78.65,0.13,0,55.43104018
2,4, eco17,12,1,5.3,8.6,22.1,96.5,74.4,0.11,0,43.2408389
2,5, eco17,12,1,5.2,11.7,94.09,104.92,10.84,0.11,0,-21.61100606
2,6, eco17,12,1,5.4,14.7,262.82,103.42,-159.4,0.12,0,-212.0317854
3,7, eco17,12,1,4.7,16.7,248.94,77.93,-171.01,0.11,0,-243.9136683
3,8, eco17,12,1,5.8,16.5,286.06,113.34,-172.72,0.12,0,-185.9658251
3,9, eco17,12,1,6.8,14.2,297.75,175.29,-122.46,0.14,0,-143.8781815
3,10, eco17,12,1,9.3,11.3,209.69,133.73,-75.96,0.18,0,4.076921592
3,11, eco17,12,1,9.6,7.4,0,73.22,73.22,0.18,0,40.86724039
3,12, eco17,12,1,9.7,5.2,0,58.49,58.49,0.19,0,44.14166086
3,1, eco17,12,1,9.1,4.7,0,53.18,53.18,0.18,0,49.90001544
