Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco17, 12, 1, 4.7, 16.7, 43.05, 30.38, -12.67, 0.11, 0, 
1, 8, eco17, 12, 1, 5.8, 16.5, 39.18, 43.81, 4.63, 0.12, 0, 
1, 9, eco17, 12, 1, 6.8, 14.2, 34.13, 55.34, 21.21, 0.14, 0, 
1, 10, eco17, 12, 1, 9.3, 11.3, 96.75, 39.99, -56.75, 0.18, 0, 
1, 11, eco17, 12, 1, 9.6, 7.4, 3.16, 22.12, 18.96, 0.18, 0, 
1, 12, eco17, 12, 1, 9.7, 5.2, 1.7, 17.97, 16.27, 0.19, 0, 
1, 1, eco17, 12, 1, 9.1, 4.7, 1.44, 16.56, 15.12, 0.18, 0, 
1, 2, eco17, 12, 1, 6.5, 4.8, 1.49, 16.01, 14.52, 0.13, 0, 
1, 3, eco17, 12, 1, 6.2, 6.5, 2.54, 26.31, 23.77, 0.13, 0, 
1, 4, eco17, 12, 1, 5.3, 8.6, 68.22, 33.09, -35.13, 0.11, 0, 
1, 5, eco17, 12, 1, 5.2, 11.7, 94.22, 36.26, -57.96, 0.11, 0, 
1, 6, eco17, 12, 1, 5.4, 14.7, 33.31, 35.98, 2.67, 0.12, 0, 
2, 7, eco17, 12, 1, 4.7, 16.7, 31.38, 27.32, -4.06, 0.11, 0, 
2, 8, eco17, 12, 1, 5.8, 16.5, 38.14, 39.72, 1.58, 0.12, 0, 
2, 9, eco17, 12, 1, 6.8, 14.2, 32.74, 55.74, 23, 0.14, 0, 
2, 10, eco17, 12, 1, 9.3, 11.3, 115.18, 39.34, -75.84, 0.18, 0, 
2, 11, eco17, 12, 1, 9.6, 7.4, 3.2, 22.08, 18.88, 0.18, 0, 
2, 12, eco17, 12, 1, 9.7, 5.2, 1.69, 17.75, 16.06, 0.19, 0, 
2, 1, eco17, 12, 1, 9.1, 4.7, 1.43, 16.25, 14.82, 0.18, 0, 
2, 2, eco17, 12, 1, 6.5, 4.8, 1.48, 15.63, 14.15, 0.13, 0, 
2, 3, eco17, 12, 1, 6.2, 6.5, 2.53, 25.83, 23.3, 0.13, 0, 
