Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,NEE_measured
1,7, eco17,12,1,4.7,16.7,43.05,30.38,-12.67,0.11,0,-222.8178251
1,8, eco17,12,1,5.8,16.5,39.18,43.81,4.63,0.12,0,-165.7969523
1,9, eco17,12,1,6.8,14.2,34.13,55.34,21.21,0.14,0,-72.15944508
1,10, eco17,12,1,9.3,11.3,96.75,39.99,-56.75,0.18,0,-16.98998566
1,11, eco17,12,1,9.6,7.4,3.16,22.12,18.96,0.18,0,62.27454463
1,12, eco17,12,1,9.7,5.2,1.7,17.97,16.27,0.19,0,60.60872887
1,1, eco17,12,1,9.1,4.7,1.44,16.56,15.12,0.18,0,54.38257855
1,2, eco17,12,1,6.5,4.8,1.49,16.01,14.52,0.13,0,34.33232218
1,3, eco17,12,1,6.2,6.5,2.54,26.31,23.77,0.13,0,47.58882235
1,4, eco17,12,1,5.3,8.6,68.22,33.09,-35.13,0.11,0,49.37538773
1,5, eco17,12,1,5.2,11.7,94.22,36.26,-57.96,0.11,0,-15.00090775
1,6, eco17,12,1,5.4,14.7,33.31,35.98,2.67,0.12,0,-173.3065306
2,7, eco17,12,1,4.7,16.7,31.38,27.32,-4.06,0.11,0,-244.6685708
2,8, eco17,12,1,5.8,16.5,38.14,39.72,1.58,0.12,0,-176.6829428
2,9, eco17,12,1,6.8,14.2,32.74,55.74,23,0.14,0,-103.6175641
2,10, eco17,12,1,9.3,11.3,115.18,39.34,-75.84,0.18,0,-4.732410312
2,11, eco17,12,1,9.6,7.4,3.2,22.08,18.88,0.18,0,73.43038822
2,12, eco17,12,1,9.7,5.2,1.69,17.75,16.06,0.19,0,88.45220606
2,1, eco17,12,1,9.1,4.7,1.43,16.25,14.82,0.18,0,54.58358794
2,2, eco17,12,1,6.5,4.8,1.48,15.63,14.15,0.13,0,40.37741827
2,3, eco17,12,1,6.2,6.5,2.53,25.83,23.3,0.13,0,55.43104018
2,4, eco17,12,1,5.3,8.6,69,32.44,-36.56,0.11,0,43.2408389
2,5, eco17,12,1,5.2,11.7,117.81,35.43,-82.38,0.11,0,-21.61100606
2,6, eco17,12,1,5.4,14.7,34.01,35.08,1.06,0.12,0,-212.0317854
3,7, eco17,12,1,4.7,16.7,32.02,26.61,-5.42,0.11,0,-243.9136683
3,8, eco17,12,1,5.8,16.5,38.61,38.69,0.08,0.12,0,-185.9658251
3,9, eco17,12,1,6.8,14.2,33.6,56.31,22.72,0.14,0,-143.8781815
3,10, eco17,12,1,9.3,11.3,119.55,39.41,-80.14,0.18,0,4.076921592
3,11, eco17,12,1,9.6,7.4,3.24,22.19,18.95,0.18,0,40.86724039
3,12, eco17,12,1,9.7,5.2,1.68,17.78,16.09,0.19,0,44.14166086
3,1, eco17,12,1,9.1,4.7,1.43,16.24,14.82,0.18,0,49.90001544
3,2, eco17,12,1,6.5,4.8,1.48,15.6,14.12,0.13,0,43.55875397
3,3, eco17,12,1,6.2,6.5,2.52,25.75,23.23,0.13,0,52.7272429
3,4, eco17,12,1,5.3,8.6,69.46,32.3,-37.16,0.11,0,48.00208759
3,5, eco17,12,1,5.2,11.7,123.37,35.23,-88.14,0.11,0,-14.5700303
3,6, eco17,12,1,5.4,14.7,35.51,34.85,-0.66,0.12,0,-251.7261814
4,7, eco17,12,1,4.7,16.7,32.64,26.42,-6.22,0.11,0,-220.2551238
4,8, eco17,12,1,5.8,16.5,39.08,38.43,-0.65,0.12,0,-154.1548202
4,9, eco17,12,1,6.8,14.2,34.47,56.55,22.08,0.14,0,-143.905232
4,10, eco17,12,1,9.3,11.3,121.97,39.52,-82.45,0.18,0,-29.14370669
4,11, eco17,12,1,9.6,7.4,3.23,22.36,19.13,0.18,0,87.69040906
4,12, eco17,12,1,9.7,5.2,1.67,17.9,16.23,0.19,0,74.1984935
4,1, eco17,12,1,9.1,4.7,1.42,16.35,14.93,0.18,0,59.61769495
4,2, eco17,12,1,6.5,4.8,1.47,15.7,14.23,0.13,0,54.02787523
4,3, eco17,12,1,6.2,6.5,2.51,25.83,23.32,0.13,0,56.86641223
4,4, eco17,12,1,5.3,8.6,69.76,32.36,-37.4,0.11,0,42.35565168
4,5, eco17,12,1,5.2,11.7,126.34,35.28,-91.06,0.11,0,-19.33683732
4,6, eco17,12,1,5.4,14.7,36.74,34.89,-1.86,0.12,0,-219.8643798
5,7, eco17,12,1,4.7,16.7,33.19,26.44,-6.74,0.11,0,-263.0053707
5,8, eco17,12,1,5.8,16.5,39.44,38.47,-0.97,0.12,0,-213.2104131
5,9, eco17,12,1,6.8,14.2,35.1,56.89,21.8,0.14,0,-152.0012799
5,10, eco17,12,1,9.3,11.3,123.67,39.75,-83.92,0.18,0,-43.23733754
5,11, eco17,12,1,9.6,7.4,3.21,22.61,19.4,0.18,0,92.21950224
5,12, eco17,12,1,9.7,5.2,1.67,18.1,16.43,0.19,0,68.11336008
5,1, eco17,12,1,9.1,4.7,1.41,16.54,15.13,0.18,0,57.06338522
5,2, eco17,12,1,6.5,4.8,1.46,15.89,14.42,0.13,0,41.04912902
5,3, eco17,12,1,6.2,6.5,2.5,26,23.5,0.13,0,51.68210983
5,4, eco17,12,1,5.3,8.6,70.02,32.54,-37.48,0.11,0,49.29720934
5,5, eco17,12,1,5.2,11.7,128.48,35.47,-93.01,0.11,0,-32.62195166
5,6, eco17,12,1,5.4,14.7,37.44,35.07,-2.37,0.12,0,-272.4144893
6,7, eco17,12,1,4.7,16.7,33.65,26.58,-7.08,0.11,0,-264.981759
6,8, eco17,12,1,5.8,16.5,39.72,38.68,-1.05,0.12,0,-167.5065256
6,9, eco17,12,1,6.8,14.2,35.54,57.3,21.76,0.14,0,-90.77556341
6,10, eco17,12,1,9.3,11.3,124.91,40.05,-84.86,0.18,0,10.82549945
6,11, eco17,12,1,9.6,7.4,3.2,22.88,19.69,0.18,0,53.39480494
6,12, eco17,12,1,9.7,5.2,1.66,18.32,16.67,0.19,0,55.30503506
6,1, eco17,12,1,9.1,4.7,1.41,16.75,15.35,0.18,0,54.47304605
6,2, eco17,12,1,6.5,4.8,1.46,16.1,14.64,0.13,0,42.6863911
6,3, eco17,12,1,6.2,6.5,2.48,26.22,23.74,0.13,0,43.11322546
6,4, eco17,12,1,5.3,8.6,70.24,32.77,-37.46,0.11,0,63.0080478
6,5, eco17,12,1,5.2,11.7,130.05,35.72,-94.33,0.11,0,-80.79435007
6,6, eco17,12,1,5.4,14.7,37.86,35.31,-2.54,0.12,0,-320.147148
7,7, eco17,12,1,4.7,16.7,34.07,26.78,-7.29,0.11,0,-224.2715785
7,8, eco17,12,1,5.8,16.5,39.98,38.99,-0.99,0.12,0,-240.5023404
7,9, eco17,12,1,6.8,14.2,35.9,57.76,21.86,0.14,0,-161.2692597
7,10, eco17,12,1,9.3,11.3,125.88,40.4,-85.47,0.18,0,-9.222392808
7,11, eco17,12,1,9.6,7.4,3.3,23.18,19.88,0.18,0,33.32814422
7,12, eco17,12,1,9.7,5.2,1.8,18.58,16.78,0.19,0,47.17492207
7,1, eco17,12,1,9.1,4.7,1.57,17,15.43,0.18,0,59.18403175
7,2, eco17,12,1,6.5,4.8,1.63,16.35,14.73,0.13,0,45.79981121
7,3, eco17,12,1,6.2,6.5,2.65,26.51,23.86,0.13,0,53.58222943
7,4, eco17,12,1,5.3,8.6,70.59,33.1,-37.49,0.11,0,59.62847422
7,5, eco17,12,1,5.2,11.7,131.27,36.08,-95.19,0.11,0,-6.686116056
7,6, eco17,12,1,5.4,14.7,38.07,35.67,-2.4,0.12,0,-207.5784728
8,7, eco17,12,1,4.7,16.7,34.37,27.03,-7.35,0.11,0,-192.6835763
8,8, eco17,12,1,5.8,16.5,40.12,39.35,-0.78,0.12,0,-182.5827005
8,9, eco17,12,1,6.8,14.2,36.09,58.19,22.1,0.14,0,-98.12636827
8,10, eco17,12,1,9.3,11.3,126.5,40.73,-85.77,0.18,0,-6.099350112
8,11, eco17,12,1,9.6,7.4,3.29,23.45,20.15,0.18,0,52.62454159
8,12, eco17,12,1,9.7,5.2,1.81,18.81,17,0.19,0,56.63747297
8,1, eco17,12,1,9.1,4.7,1.58,17.21,15.63,0.18,0,36.89313523
8,2, eco17,12,1,6.5,4.8,1.64,16.56,14.93,0.13,0,18.16821446
8,3, eco17,12,1,6.2,6.5,2.65,26.74,24.09,0.13,0,38.53723306
8,4, eco17,12,1,5.3,8.6,70.79,33.36,-37.43,0.11,0,45.58685832
8,5, eco17,12,1,5.2,11.7,132.08,36.37,-95.71,0.11,0,-7.031350368
8,6, eco17,12,1,5.4,14.7,38.1,35.95,-2.14,0.12,0,-249.5517757
9,7, eco17,12,1,4.7,16.7,34.63,27.25,-7.38,0.11,0,-229.8465411
9,8, eco17,12,1,5.8,16.5,40.26,39.7,-0.56,0.12,0,-163.2604799
9,9, eco17,12,1,6.8,14.2,36.22,58.61,22.39,0.14,0,-131.1148601
9,10, eco17,12,1,9.3,11.3,126.98,41.05,-85.92,0.18,0,-1.377265248
9,11, eco17,12,1,9.6,7.4,3.4,23.71,20.31,0.18,0,47.02977461
9,12, eco17,12,1,9.7,5.2,1.96,19.04,17.07,0.19,0,47.14186802
9,1, eco17,12,1,9.1,4.7,1.75,17.44,15.69,0.18,0,40.02917962
9,2, eco17,12,1,6.5,4.8,1.81,16.8,14.98,0.13,0,42.7369459
9,3, eco17,12,1,6.2,6.5,2.83,27.02,24.19,0.13,0,43.51665989
9,4, eco17,12,1,5.3,8.6,71.1,33.68,-37.42,0.11,0,34.70025528
9,5, eco17,12,1,5.2,11.7,132.69,36.73,-95.96,0.11,0,-133.9787146
9,6, eco17,12,1,5.4,14.7,37.99,36.31,-1.68,0.12,0,-224.1841519
10,7, eco17,12,1,4.7,16.7,34.79,27.51,-7.28,0.11,0,-220.7693513
10,8, eco17,12,1,5.8,16.5,40.31,40.07,-0.24,0.12,0,-164.9967231
10,9, eco17,12,1,6.8,14.2,36.22,58.99,22.76,0.14,0,-98.97893366
10,10, eco17,12,1,9.3,11.3,127.19,41.34,-85.85,0.18,0,-6.798484656
10,11, eco17,12,1,9.6,7.4,3.41,23.93,20.52,0.18,0,59.5444163
10,12, eco17,12,1,9.7,5.2,1.99,19.23,17.24,0.19,0,47.42931607
10,1, eco17,12,1,9.1,4.7,1.79,17.63,15.84,0.18,0,36.19084147
10,2, eco17,12,1,6.5,4.8,1.85,16.98,15.14,0.13,0,22.78648865
10,3, eco17,12,1,6.2,6.5,2.85,27.23,24.38,0.13,0,28.46303582
10,4, eco17,12,1,5.3,8.6,71.06,33.93,-37.13,0.11,0,38.02519922
10,5, eco17,12,1,5.2,11.7,133.06,37,-96.05,0.11,0,-62.64522504
