Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco17,12,1,0,14183.5,18066,828.4,236,289.7,512.1,9.64,1153.6,35.5,65,22.8,8436.5,2109.1,485.4,195.9,44.2,12.9,22.6,3,260.9,5283.8,5032,3606.8,3.1,0.5,27.9,24.7,1.7,2.3,0.2,0.6,0.1,0.2,6.9,561.8,186.6,327.4,0.2,-0.4,0.1,-0.4,7.6,9.5,-10.1,0,12691.57,0,0,0,0,13.7,5.6,1093.4,44.9,0, 
1, eco17,12,1,-371.5,14211.4,18929,1026.6,292.5,308.4,314.6,9.2,1162.7,36.4,115.5,40.4,8789.6,2197.4,366.8,160.7,41.7,5.4,21.9,1.6,245,5310,5042.5,3613.9,5.4,0.9,29,25.8,1.3,1.9,0.2,0.3,0.1,0.1,7.2,565,187.7,328.6,0.2,-0.5,0.1,-0.5,8,9.6,-10.1,0,50.77,0,0,0,0,17.4,5.9,1098.5,41.89,0, 
2, eco17,12,1,-367.6,14222.8,19608,1000.9,285.3,353.1,326.7,9.69,1170.9,37.4,112.8,39.5,9113.5,2278.4,331.2,144.2,46,5.9,24.1,1.7,229.9,5333.3,5038.5,3621.1,5.2,0.8,30.1,26.7,1.1,1.7,0.2,0.4,0.1,0.1,7.7,568.3,188.8,329.9,0.2,-0.5,0.1,-0.6,8.4,9.7,-10,0,50.77,0,0,0,0,16.4,6.7,1105.2,42.32,0, 
3, eco17,12,1,-368.2,14228.4,20248,984.8,280.7,346.5,337.9,9.78,1178,37.6,111,38.9,9415.7,2353.9,325.1,137.5,46.3,5.8,24,1.7,220.3,5352.8,5026.9,3628.3,5.2,0.8,31,27.5,1.1,1.6,0.2,0.3,0.1,0.1,7.8,571.3,189.9,331.1,0.2,-0.5,0.1,-0.5,8.6,9.8,-9.8,0,50.77,0,0,0,0,16.1,6.6,1110.7,43.41,0, 
4, eco17,12,1,-356.2,14234.3,20849,968.3,276,340.7,348.4,9.84,1184.6,37.6,109.2,38.2,9696.7,2424.2,329.3,135.8,45.7,5.7,23.6,1.7,216.5,5369.6,5012.8,3635.4,5.1,0.8,31.9,28.3,1.1,1.6,0.2,0.3,0.1,0.1,7.7,574,191,332.4,0.2,-0.5,0.1,-0.5,8.6,9.8,-9.6,0,50.77,0,0,0,0,15.9,6.5,1115.7,43.96,0, 
5, eco17,12,1,-337.7,14242.1,21401,951.4,271.2,334.8,358.1,9.89,1190.7,37.5,107.4,37.6,9957.1,2489.3,336.6,136.7,45,5.6,23.2,1.6,215.8,5384.3,4999.4,3642.6,5,0.8,32.7,29.1,1.1,1.6,0.2,0.3,0.1,0.1,7.6,576.5,191.9,333.6,0.2,-0.5,0.1,-0.5,8.5,9.9,-9.5,0,50.77,0,0,0,0,15.6,6.4,1120.4,44.43,0, 
6, eco17,12,1,-316.4,14251.5,21905,934.6,266.3,328.9,367,9.94,1196.4,37.4,105.6,37,10197.6,2549.4,344.7,138.7,44.2,5.5,22.8,1.6,216.5,5397.4,4987.8,3649.8,4.9,0.8,33.5,29.8,1.2,1.7,0.2,0.3,0.1,0.1,7.5,578.7,192.8,334.9,0.2,-0.5,0.1,-0.5,8.4,10,-9.3,0,50.77,0,0,0,0,15.3,6.2,1124.7,44.86,0, 
7, eco17,12,1,-294.3,14262.4,22372,917.8,261.6,323,375.3,9.98,1201.7,37.3,103.8,36.3,10418.9,2604.7,352.6,141.3,43.4,5.4,22.4,1.6,217.7,5409.3,4978.3,3657,4.8,0.8,34.1,30.4,1.2,1.7,0.2,0.3,0.1,0.1,7.4,580.7,193.7,336.1,0.2,-0.5,0.1,-0.5,8.3,10.1,-9.1,0,50.77,0,0,0,0,15,6.1,1128.7,45.27,0, 
8, eco17,12,1,-272.1,14274.4,22798,901.1,256.8,317.2,382.8,10.01,1206.6,37.2,102,35.7,10621.7,2655.4,360.1,144.1,42.6,5.3,22,1.6,219,5420.3,4970.8,3664.2,4.7,0.8,34.8,31,1.2,1.7,0.2,0.3,0.1,0.1,7.3,582.6,194.4,337.4,0.2,-0.4,0.1,-0.5,8.2,10.1,-9,0,50.77,0,0,0,0,14.8,6,1132.5,45.64,0, 
9, eco17,12,1,-250.4,14287.1,23191,884.9,252.2,311.5,389.8,10.04,1211.2,37.1,100.3,35.1,10807.1,2701.8,367,146.8,41.9,5.2,21.6,1.5,220.2,5430.3,4965,3671.5,4.7,0.7,35.4,31.5,1.2,1.7,0.2,0.3,0.1,0.1,7.2,584.2,195.2,338.6,0.2,-0.4,0.1,-0.5,8,10.2,-8.9,0,50.77,0,0,0,0,14.5,5.9,1136,45.99,0, 
