Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
1, 7, eco17, 12, 1, 4.7, 16.7, 47.79, 64.77, 16.98, 0.31, 0, 
1, 8, eco17, 12, 1, 5.8, 16.5, 204.8, 93.58, -111.22, 0.37, 0, 
1, 9, eco17, 12, 1, 6.8, 14.2, 521.83, 112.19, -409.64, 0.41, 0, 
1, 10, eco17, 12, 1, 9.3, 11.3, 354.21, 107.32, -246.89, 0.54, 0, 
1, 11, eco17, 12, 1, 9.6, 7.4, 0, 64.7, 64.7, 0.55, 0, 
1, 12, eco17, 12, 1, 9.7, 5.2, 0, 50.85, 50.85, 0.56, 0, 
1, 1, eco17, 12, 1, 9.1, 4.7, 0, 45.64, 45.64, 0.53, 0, 
1, 2, eco17, 12, 1, 6.5, 4.8, 0, 43.1, 43.1, 0.4, 0, 
1, 3, eco17, 12, 1, 6.2, 6.5, 0, 65.31, 65.31, 0.39, 0, 
1, 4, eco17, 12, 1, 5.3, 8.6, 19.43, 79.44, 60.01, 0.34, 0, 
1, 5, eco17, 12, 1, 5.2, 11.7, 76.77, 85.65, 8.89, 0.34, 0, 
1, 6, eco17, 12, 1, 5.4, 14.7, 207.28, 84, -123.28, 0.35, 0, 
2, 7, eco17, 12, 1, 4.7, 16.7, 197.11, 63.26, -133.85, 0.31, 0, 
2, 8, eco17, 12, 1, 5.8, 16.5, 238.68, 91.38, -147.3, 0.37, 0, 
2, 9, eco17, 12, 1, 6.8, 14.2, 290.64, 139.56, -151.09, 0.41, 0, 
2, 10, eco17, 12, 1, 9.3, 11.3, 193.49, 108.63, -84.85, 0.54, 0, 
2, 11, eco17, 12, 1, 9.6, 7.4, 0, 59.62, 59.62, 0.55, 0, 
2, 12, eco17, 12, 1, 9.7, 5.2, 0, 47.26, 47.26, 0.56, 0, 
2, 1, eco17, 12, 1, 9.1, 4.7, 0, 42.68, 42.68, 0.53, 0, 
2, 2, eco17, 12, 1, 6.5, 4.8, 0, 40.49, 40.49, 0.4, 0, 
2, 3, eco17, 12, 1, 6.2, 6.5, 0, 62.23, 62.23, 0.39, 0, 
2, 4, eco17, 12, 1, 5.3, 8.6, 11.31, 76.25, 64.95, 0.34, 0, 
2, 5, eco17, 12, 1, 5.2, 11.7, 30.72, 82.61, 51.89, 0.34, 0, 
2, 6, eco17, 12, 1, 5.4, 14.7, 76.55, 81.31, 4.76, 0.35, 0, 
3, 7, eco17, 12, 1, 4.7, 16.7, 100.27, 61.38, -38.88, 0.31, 0, 
3, 8, eco17, 12, 1, 5.8, 16.5, 143.07, 88.72, -54.34, 0.37, 0, 
3, 9, eco17, 12, 1, 6.8, 14.2, 178.11, 112.76, -65.35, 0.41, 0, 
3, 10, eco17, 12, 1, 9.3, 11.3, 110.44, 88.34, -22.1, 0.54, 0, 
3, 11, eco17, 12, 1, 9.6, 7.4, 0, 46.37, 46.37, 0.55, 0, 
3, 12, eco17, 12, 1, 9.7, 5.2, 0, 37.71, 37.71, 0.56, 0, 
3, 1, eco17, 12, 1, 9.1, 4.7, 0, 34.71, 34.71, 0.53, 0, 
3, 2, eco17, 12, 1, 6.5, 4.8, 0, 33.46, 33.46, 0.4, 0, 
3, 3, eco17, 12, 1, 6.2, 6.5, 0, 53.95, 53.95, 0.39, 0, 
3, 4, eco17, 12, 1, 5.3, 8.6, 7.36, 67.58, 60.22, 0.34, 0, 
3, 5, eco17, 12, 1, 5.2, 11.7, 15.38, 74.25, 58.87, 0.34, 0, 
3, 6, eco17, 12, 1, 5.4, 14.7, 32.02, 73.99, 41.97, 0.35, 0, 
4, 7, eco17, 12, 1, 4.7, 16.7, 47.17, 56.4, 9.23, 0.31, 0, 
4, 8, eco17, 12, 1, 5.8, 16.5, 85.06, 81.96, -3.1, 0.37, 0, 
4, 9, eco17, 12, 1, 6.8, 14.2, 122.63, 95.32, -27.32, 0.41, 0, 
4, 10, eco17, 12, 1, 9.3, 11.3, 74.22, 75.13, 0.9, 0.54, 0, 
4, 11, eco17, 12, 1, 9.6, 7.4, 0, 37.99, 37.99, 0.55, 0, 
4, 12, eco17, 12, 1, 9.7, 5.2, 0, 31.44, 31.44, 0.56, 0, 
4, 1, eco17, 12, 1, 9.1, 4.7, 0, 29.31, 29.31, 0.53, 0, 
4, 2, eco17, 12, 1, 6.5, 4.8, 0, 28.57, 28.57, 0.4, 0, 
4, 3, eco17, 12, 1, 6.2, 6.5, 0, 48.04, 48.04, 0.39, 0, 
4, 4, eco17, 12, 1, 5.3, 8.6, 5.79, 61.16, 55.37, 0.34, 0, 
4, 5, eco17, 12, 1, 5.2, 11.7, 12.1, 67.79, 55.68, 0.34, 0, 
4, 6, eco17, 12, 1, 5.4, 14.7, 21.36, 68.09, 46.73, 0.35, 0, 
5, 7, eco17, 12, 1, 4.7, 16.7, 30.67, 52.23, 21.57, 0.31, 0, 
5, 8, eco17, 12, 1, 5.8, 16.5, 59.24, 76.19, 16.94, 0.37, 0, 
5, 9, eco17, 12, 1, 6.8, 14.2, 95.16, 86.11, -9.05, 0.41, 0, 
5, 10, eco17, 12, 1, 9.3, 11.3, 58.31, 67.7, 9.39, 0.54, 0, 
5, 11, eco17, 12, 1, 9.6, 7.4, 0, 33.3, 33.3, 0.55, 0, 
5, 12, eco17, 12, 1, 9.7, 5.2, 0, 27.8, 27.8, 0.56, 0, 
5, 1, eco17, 12, 1, 9.1, 4.7, 0, 26.09, 26.09, 0.53, 0, 
5, 2, eco17, 12, 1, 6.5, 4.8, 0, 25.57, 25.57, 0.4, 0, 
5, 3, eco17, 12, 1, 6.2, 6.5, 0, 44.25, 44.25, 0.39, 0, 
5, 4, eco17, 12, 1, 5.3, 8.6, 5.14, 56.88, 51.73, 0.34, 0, 
5, 5, eco17, 12, 1, 5.2, 11.7, 10.81, 63.3, 52.49, 0.34, 0, 
5, 6, eco17, 12, 1, 5.4, 14.7, 17.61, 63.83, 46.23, 0.35, 0, 
6, 7, eco17, 12, 1, 4.7, 16.7, 24.59, 49.13, 24.53, 0.31, 0, 
6, 8, eco17, 12, 1, 5.8, 16.5, 48.66, 71.78, 23.13, 0.37, 0, 
6, 9, eco17, 12, 1, 6.8, 14.2, 82.39, 80.36, -2.02, 0.41, 0, 
6, 10, eco17, 12, 1, 9.3, 11.3, 51.55, 63.03, 11.47, 0.54, 0, 
6, 11, eco17, 12, 1, 9.6, 7.4, 0, 30.46, 30.46, 0.55, 0, 
6, 12, eco17, 12, 1, 9.7, 5.2, 0, 25.52, 25.52, 0.56, 0, 
6, 1, eco17, 12, 1, 9.1, 4.7, 0, 24.01, 24.01, 0.53, 0, 
6, 2, eco17, 12, 1, 6.5, 4.8, 0, 23.59, 23.59, 0.4, 0, 
6, 3, eco17, 12, 1, 6.2, 6.5, 0, 41.6, 41.6, 0.39, 0, 
6, 4, eco17, 12, 1, 5.3, 8.6, 4.93, 53.77, 48.84, 0.34, 0, 
6, 5, eco17, 12, 1, 5.2, 11.7, 10.33, 59.95, 49.62, 0.34, 0, 
6, 6, eco17, 12, 1, 5.4, 14.7, 16.28, 60.55, 44.27, 0.35, 0, 
7, 7, eco17, 12, 1, 4.7, 16.7, 22.63, 46.67, 24.04, 0.31, 0, 
7, 8, eco17, 12, 1, 5.8, 16.5, 45.11, 68.25, 23.14, 0.37, 0, 
7, 9, eco17, 12, 1, 6.8, 14.2, 78.3, 76.35, -1.96, 0.41, 0, 
7, 10, eco17, 12, 1, 9.3, 11.3, 49.47, 59.87, 10.39, 0.54, 0, 
7, 11, eco17, 12, 1, 9.6, 7.4, 0, 28.63, 28.63, 0.55, 0, 
7, 12, eco17, 12, 1, 9.7, 5.2, 0, 24, 24, 0.56, 0, 
7, 1, eco17, 12, 1, 9.1, 4.7, 0, 22.59, 22.59, 0.53, 0, 
7, 2, eco17, 12, 1, 6.5, 4.8, 0, 22.2, 22.2, 0.4, 0, 
7, 3, eco17, 12, 1, 6.2, 6.5, 0, 39.62, 39.62, 0.39, 0, 
7, 4, eco17, 12, 1, 5.3, 8.6, 4.84, 51.35, 46.51, 0.34, 0, 
7, 5, eco17, 12, 1, 5.2, 11.7, 10.18, 57.28, 47.1, 0.34, 0, 
7, 6, eco17, 12, 1, 5.4, 14.7, 15.9, 57.88, 41.97, 0.35, 0, 
8, 7, eco17, 12, 1, 4.7, 16.7, 21.96, 44.63, 22.67, 0.31, 0, 
8, 8, eco17, 12, 1, 5.8, 16.5, 43.79, 65.28, 21.49, 0.37, 0, 
8, 9, eco17, 12, 1, 6.8, 14.2, 76.7, 73.16, -3.54, 0.41, 0, 
8, 10, eco17, 12, 1, 9.3, 11.3, 48.5, 57.38, 8.88, 0.54, 0, 
8, 11, eco17, 12, 1, 9.6, 7.4, 0, 27.25, 27.25, 0.55, 0, 
8, 12, eco17, 12, 1, 9.7, 5.2, 0, 22.82, 22.82, 0.56, 0, 
8, 1, eco17, 12, 1, 9.1, 4.7, 0, 21.48, 21.48, 0.53, 0, 
8, 2, eco17, 12, 1, 6.5, 4.8, 0, 21.11, 21.11, 0.4, 0, 
8, 3, eco17, 12, 1, 6.2, 6.5, 0, 37.95, 37.95, 0.39, 0, 
8, 4, eco17, 12, 1, 5.3, 8.6, 4.78, 49.27, 44.49, 0.34, 0, 
8, 5, eco17, 12, 1, 5.2, 11.7, 10.08, 54.96, 44.87, 0.34, 0, 
8, 6, eco17, 12, 1, 5.4, 14.7, 15.61, 55.53, 39.92, 0.35, 0, 
9, 7, eco17, 12, 1, 4.7, 16.7, 21.51, 42.83, 21.32, 0.31, 0, 
9, 8, eco17, 12, 1, 5.8, 16.5, 43.23, 62.64, 19.41, 0.37, 0, 
9, 9, eco17, 12, 1, 6.8, 14.2, 75.43, 70.36, -5.07, 0.41, 0, 
9, 10, eco17, 12, 1, 9.3, 11.3, 47.89, 55.19, 7.3, 0.54, 0, 
9, 11, eco17, 12, 1, 9.6, 7.4, 0, 26.08, 26.08, 0.55, 0, 
9, 12, eco17, 12, 1, 9.7, 5.2, 0, 21.83, 21.83, 0.56, 0, 
9, 1, eco17, 12, 1, 9.1, 4.7, 0, 20.53, 20.53, 0.53, 0, 
9, 2, eco17, 12, 1, 6.5, 4.8, 0, 20.16, 20.16, 0.4, 0, 
9, 3, eco17, 12, 1, 6.2, 6.5, 0, 36.46, 36.46, 0.39, 0, 
9, 4, eco17, 12, 1, 5.3, 8.6, 4.78, 47.39, 42.61, 0.34, 0, 
9, 5, eco17, 12, 1, 5.2, 11.7, 10.07, 52.85, 42.78, 0.34, 0, 
9, 6, eco17, 12, 1, 5.4, 14.7, 15.52, 53.4, 37.88, 0.35, 0, 
10, 7, eco17, 12, 1, 4.7, 16.7, 21.45, 41.17, 19.72, 0.31, 0, 
10, 8, eco17, 12, 1, 5.8, 16.5, 43.04, 60.22, 17.17, 0.37, 0, 
10, 9, eco17, 12, 1, 6.8, 14.2, 75.7, 67.85, -7.84, 0.41, 0, 
10, 10, eco17, 12, 1, 9.3, 11.3, 47.92, 53.29, 5.37, 0.54, 0, 
10, 11, eco17, 12, 1, 9.6, 7.4, 0, 25.11, 25.11, 0.55, 0, 
10, 12, eco17, 12, 1, 9.7, 5.2, 0, 20.98, 20.98, 0.56, 0, 
10, 1, eco17, 12, 1, 9.1, 4.7, 0, 19.71, 19.71, 0.53, 0, 
10, 2, eco17, 12, 1, 6.5, 4.8, 0, 19.35, 19.35, 0.4, 0, 
10, 3, eco17, 12, 1, 6.2, 6.5, 0, 35.13, 35.13, 0.39, 0, 
10, 4, eco17, 12, 1, 5.3, 8.6, 4.78, 45.69, 40.91, 0.34, 0, 
10, 5, eco17, 12, 1, 5.2, 11.7, 10.06, 50.93, 40.86, 0.34, 0, 
10, 6, eco17, 12, 1, 5.4, 14.7, 15.53, 51.44, 35.9, 0.35, 0, 
11, 7, eco17, 12, 1, 4.7, 16.7, 21.45, 39.66, 18.21, 0.31, 0, 
11, 8, eco17, 12, 1, 5.8, 16.5, 42.91, 57.99, 15.08, 0.37, 0, 
11, 9, eco17, 12, 1, 6.8, 14.2, 75.45, 65.55, -9.9, 0.41, 0, 
11, 10, eco17, 12, 1, 9.3, 11.3, 47.74, 51.52, 3.78, 0.54, 0, 
11, 11, eco17, 12, 1, 9.6, 7.4, 0, 24.22, 24.22, 0.55, 0, 
11, 12, eco17, 12, 1, 9.7, 5.2, 0, 20.21, 20.21, 0.56, 0, 
11, 1, eco17, 12, 1, 9.1, 4.7, 0, 18.97, 18.97, 0.53, 0, 
11, 2, eco17, 12, 1, 6.5, 4.8, 0, 18.61, 18.61, 0.4, 0, 
11, 3, eco17, 12, 1, 6.2, 6.5, 0, 33.89, 33.89, 0.39, 0, 
11, 4, eco17, 12, 1, 5.3, 8.6, 4.74, 44.1, 39.36, 0.34, 0, 
11, 5, eco17, 12, 1, 5.2, 11.7, 10.03, 49.13, 39.11, 0.34, 0, 
11, 6, eco17, 12, 1, 5.4, 14.7, 15.46, 49.61, 34.15, 0.35, 0, 
12, 7, eco17, 12, 1, 4.7, 16.7, 21.32, 38.24, 16.92, 0.31, 0, 
12, 8, eco17, 12, 1, 5.8, 16.5, 42.85, 55.91, 13.05, 0.37, 0, 
12, 9, eco17, 12, 1, 6.8, 14.2, 75.18, 63.39, -11.79, 0.41, 0, 
12, 10, eco17, 12, 1, 9.3, 11.3, 47.84, 49.86, 2.01, 0.54, 0, 
12, 11, eco17, 12, 1, 9.6, 7.4, 0, 23.42, 23.42, 0.55, 0, 
12, 12, eco17, 12, 1, 9.7, 5.2, 0, 19.52, 19.52, 0.56, 0, 
12, 1, eco17, 12, 1, 9.1, 4.7, 0, 18.3, 18.3, 0.53, 0, 
12, 2, eco17, 12, 1, 6.5, 4.8, 0, 17.94, 17.94, 0.4, 0, 
12, 3, eco17, 12, 1, 6.2, 6.5, 0, 32.75, 32.75, 0.39, 0, 
12, 4, eco17, 12, 1, 5.3, 8.6, 4.76, 42.61, 37.85, 0.34, 0, 
12, 5, eco17, 12, 1, 5.2, 11.7, 10.07, 47.45, 37.38, 0.34, 0, 
12, 6, eco17, 12, 1, 5.4, 14.7, 15.51, 47.9, 32.38, 0.35, 0, 
13, 7, eco17, 12, 1, 4.7, 16.7, 21.46, 36.91, 15.45, 0.31, 0, 
13, 8, eco17, 12, 1, 5.8, 16.5, 43.01, 53.96, 10.95, 0.37, 0, 
13, 9, eco17, 12, 1, 6.8, 14.2, 75.19, 61.41, -13.78, 0.41, 0, 
13, 10, eco17, 12, 1, 9.3, 11.3, 47.94, 48.35, 0.41, 0.54, 0, 
13, 11, eco17, 12, 1, 9.6, 7.4, 0, 22.71, 22.71, 0.55, 0, 
13, 12, eco17, 12, 1, 9.7, 5.2, 0, 18.9, 18.9, 0.56, 0, 
13, 1, eco17, 12, 1, 9.1, 4.7, 0, 17.7, 17.7, 0.53, 0, 
13, 2, eco17, 12, 1, 6.5, 4.8, 0, 17.33, 17.33, 0.4, 0, 
13, 3, eco17, 12, 1, 6.2, 6.5, 0, 31.68, 31.68, 0.39, 0, 
13, 4, eco17, 12, 1, 5.3, 8.6, 4.77, 41.22, 36.46, 0.34, 0, 
13, 5, eco17, 12, 1, 5.2, 11.7, 10.07, 45.89, 35.82, 0.34, 0, 
13, 6, eco17, 12, 1, 5.4, 14.7, 15.47, 46.3, 30.83, 0.35, 0, 
14, 7, eco17, 12, 1, 4.7, 16.7, 21.42, 35.67, 14.25, 0.31, 0, 
14, 8, eco17, 12, 1, 5.8, 16.5, 42.74, 52.14, 9.4, 0.37, 0, 
14, 9, eco17, 12, 1, 6.8, 14.2, 75.33, 59.51, -15.82, 0.41, 0, 
14, 10, eco17, 12, 1, 9.3, 11.3, 47.97, 46.93, -1.05, 0.54, 0, 
14, 11, eco17, 12, 1, 9.6, 7.4, 0, 22.05, 22.05, 0.55, 0, 
14, 12, eco17, 12, 1, 9.7, 5.2, 0, 18.32, 18.32, 0.56, 0, 
14, 1, eco17, 12, 1, 9.1, 4.7, 0, 17.15, 17.15, 0.53, 0, 
14, 2, eco17, 12, 1, 6.5, 4.8, 0, 16.78, 16.78, 0.4, 0, 
14, 3, eco17, 12, 1, 6.2, 6.5, 0, 30.69, 30.69, 0.39, 0, 
14, 4, eco17, 12, 1, 5.3, 8.6, 4.75, 39.92, 35.17, 0.34, 0, 
14, 5, eco17, 12, 1, 5.2, 11.7, 10.03, 44.42, 34.39, 0.34, 0, 
14, 6, eco17, 12, 1, 5.4, 14.7, 15.47, 44.8, 29.33, 0.35, 0, 
15, 7, eco17, 12, 1, 4.7, 16.7, 21.37, 34.51, 13.14, 0.31, 0, 
15, 8, eco17, 12, 1, 5.8, 16.5, 43.05, 50.43, 7.38, 0.37, 0, 
15, 9, eco17, 12, 1, 6.8, 14.2, 75.11, 57.76, -17.34, 0.41, 0, 
15, 10, eco17, 12, 1, 9.3, 11.3, 47.77, 45.59, -2.18, 0.54, 0, 
15, 11, eco17, 12, 1, 9.6, 7.4, 0, 21.44, 21.44, 0.55, 0, 
15, 12, eco17, 12, 1, 9.7, 5.2, 0, 17.79, 17.79, 0.56, 0, 
15, 1, eco17, 12, 1, 9.1, 4.7, 0, 16.64, 16.64, 0.53, 0, 
15, 2, eco17, 12, 1, 6.5, 4.8, 0, 16.27, 16.27, 0.4, 0, 
15, 3, eco17, 12, 1, 6.2, 6.5, 0, 29.76, 29.76, 0.39, 0, 
15, 4, eco17, 12, 1, 5.3, 8.6, 4.76, 38.7, 33.94, 0.34, 0, 
15, 5, eco17, 12, 1, 5.2, 11.7, 10.03, 43.04, 33.01, 0.34, 0, 
15, 6, eco17, 12, 1, 5.4, 14.7, 15.49, 43.39, 27.9, 0.35, 0, 
16, 7, eco17, 12, 1, 4.7, 16.7, 21.45, 33.42, 11.97, 0.31, 0, 
16, 8, eco17, 12, 1, 5.8, 16.5, 43.17, 48.82, 5.66, 0.37, 0, 
16, 9, eco17, 12, 1, 6.8, 14.2, 75.5, 56.13, -19.38, 0.41, 0, 
16, 10, eco17, 12, 1, 9.3, 11.3, 48.06, 44.38, -3.68, 0.54, 0, 
16, 11, eco17, 12, 1, 9.6, 7.4, 0, 20.91, 20.91, 0.55, 0, 
16, 12, eco17, 12, 1, 9.7, 5.2, 0, 17.33, 17.33, 0.56, 0, 
16, 1, eco17, 12, 1, 9.1, 4.7, 0, 16.19, 16.19, 0.53, 0, 
16, 2, eco17, 12, 1, 6.5, 4.8, 0, 15.82, 15.82, 0.4, 0, 
16, 3, eco17, 12, 1, 6.2, 6.5, 0, 28.9, 28.9, 0.39, 0, 
16, 4, eco17, 12, 1, 5.3, 8.6, 4.75, 37.56, 32.81, 0.34, 0, 
16, 5, eco17, 12, 1, 5.2, 11.7, 10.05, 41.76, 31.71, 0.34, 0, 
16, 6, eco17, 12, 1, 5.4, 14.7, 15.55, 42.08, 26.53, 0.35, 0, 
17, 7, eco17, 12, 1, 4.7, 16.7, 21.59, 32.4, 10.8, 0.31, 0, 
17, 8, eco17, 12, 1, 5.8, 16.5, 43.1, 47.33, 4.22, 0.37, 0, 
17, 9, eco17, 12, 1, 6.8, 14.2, 75.58, 54.59, -20.99, 0.41, 0, 
17, 10, eco17, 12, 1, 9.3, 11.3, 48.07, 43.23, -4.84, 0.54, 0, 
17, 11, eco17, 12, 1, 9.6, 7.4, 0, 20.41, 20.41, 0.55, 0, 
17, 12, eco17, 12, 1, 9.7, 5.2, 0, 16.9, 16.9, 0.56, 0, 
17, 1, eco17, 12, 1, 9.1, 4.7, 0, 15.77, 15.77, 0.53, 0, 
17, 2, eco17, 12, 1, 6.5, 4.8, 0, 15.4, 15.4, 0.4, 0, 
