Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,NEE_measured
1,7, eco17,12,1,4.7,16.7,47.79,64.77,16.98,0.31,0,-222.8178251
1,8, eco17,12,1,5.8,16.5,204.8,93.58,-111.22,0.37,0,-165.7969523
1,9, eco17,12,1,6.8,14.2,521.83,112.19,-409.64,0.41,0,-72.15944508
1,10, eco17,12,1,9.3,11.3,354.21,107.32,-246.89,0.54,0,-16.98998566
1,11, eco17,12,1,9.6,7.4,0,64.7,64.7,0.55,0,62.27454463
1,12, eco17,12,1,9.7,5.2,0,50.85,50.85,0.56,0,60.60872887
1,1, eco17,12,1,9.1,4.7,0,45.64,45.64,0.53,0,54.38257855
1,2, eco17,12,1,6.5,4.8,0,43.1,43.1,0.4,0,34.33232218
1,3, eco17,12,1,6.2,6.5,0,65.31,65.31,0.39,0,47.58882235
1,4, eco17,12,1,5.3,8.6,19.43,79.44,60.01,0.34,0,49.37538773
1,5, eco17,12,1,5.2,11.7,76.77,85.65,8.89,0.34,0,-15.00090775
1,6, eco17,12,1,5.4,14.7,207.28,84,-123.28,0.35,0,-173.3065306
2,7, eco17,12,1,4.7,16.7,197.11,63.26,-133.85,0.31,0,-244.6685708
2,8, eco17,12,1,5.8,16.5,238.68,91.38,-147.3,0.37,0,-176.6829428
2,9, eco17,12,1,6.8,14.2,290.64,139.56,-151.09,0.41,0,-103.6175641
2,10, eco17,12,1,9.3,11.3,193.49,108.63,-84.85,0.54,0,-4.732410312
2,11, eco17,12,1,9.6,7.4,0,59.62,59.62,0.55,0,73.43038822
2,12, eco17,12,1,9.7,5.2,0,47.26,47.26,0.56,0,88.45220606
2,1, eco17,12,1,9.1,4.7,0,42.68,42.68,0.53,0,54.58358794
2,2, eco17,12,1,6.5,4.8,0,40.49,40.49,0.4,0,40.37741827
2,3, eco17,12,1,6.2,6.5,0,62.23,62.23,0.39,0,55.43104018
2,4, eco17,12,1,5.3,8.6,11.31,76.25,64.95,0.34,0,43.2408389
2,5, eco17,12,1,5.2,11.7,30.72,82.61,51.89,0.34,0,-21.61100606
2,6, eco17,12,1,5.4,14.7,76.55,81.31,4.76,0.35,0,-212.0317854
3,7, eco17,12,1,4.7,16.7,100.27,61.38,-38.88,0.31,0,-243.9136683
3,8, eco17,12,1,5.8,16.5,143.07,88.72,-54.34,0.37,0,-185.9658251
3,9, eco17,12,1,6.8,14.2,178.11,112.76,-65.35,0.41,0,-143.8781815
3,10, eco17,12,1,9.3,11.3,110.44,88.34,-22.1,0.54,0,4.076921592
3,11, eco17,12,1,9.6,7.4,0,46.37,46.37,0.55,0,40.86724039
3,12, eco17,12,1,9.7,5.2,0,37.71,37.71,0.56,0,44.14166086
3,1, eco17,12,1,9.1,4.7,0,34.71,34.71,0.53,0,49.90001544
3,2, eco17,12,1,6.5,4.8,0,33.46,33.46,0.4,0,43.55875397
3,3, eco17,12,1,6.2,6.5,0,53.95,53.95,0.39,0,52.7272429
3,4, eco17,12,1,5.3,8.6,7.36,67.58,60.22,0.34,0,48.00208759
3,5, eco17,12,1,5.2,11.7,15.38,74.25,58.87,0.34,0,-14.5700303
3,6, eco17,12,1,5.4,14.7,32.02,73.99,41.97,0.35,0,-251.7261814
4,7, eco17,12,1,4.7,16.7,47.17,56.4,9.23,0.31,0,-220.2551238
4,8, eco17,12,1,5.8,16.5,85.06,81.96,-3.1,0.37,0,-154.1548202
4,9, eco17,12,1,6.8,14.2,122.63,95.32,-27.32,0.41,0,-143.905232
4,10, eco17,12,1,9.3,11.3,74.22,75.13,0.9,0.54,0,-29.14370669
4,11, eco17,12,1,9.6,7.4,0,37.99,37.99,0.55,0,87.69040906
4,12, eco17,12,1,9.7,5.2,0,31.44,31.44,0.56,0,74.1984935
4,1, eco17,12,1,9.1,4.7,0,29.31,29.31,0.53,0,59.61769495
4,2, eco17,12,1,6.5,4.8,0,28.57,28.57,0.4,0,54.02787523
4,3, eco17,12,1,6.2,6.5,0,48.04,48.04,0.39,0,56.86641223
4,4, eco17,12,1,5.3,8.6,5.79,61.16,55.37,0.34,0,42.35565168
4,5, eco17,12,1,5.2,11.7,12.1,67.79,55.68,0.34,0,-19.33683732
4,6, eco17,12,1,5.4,14.7,21.36,68.09,46.73,0.35,0,-219.8643798
5,7, eco17,12,1,4.7,16.7,30.67,52.23,21.57,0.31,0,-263.0053707
5,8, eco17,12,1,5.8,16.5,59.24,76.19,16.94,0.37,0,-213.2104131
5,9, eco17,12,1,6.8,14.2,95.16,86.11,-9.05,0.41,0,-152.0012799
5,10, eco17,12,1,9.3,11.3,58.31,67.7,9.39,0.54,0,-43.23733754
5,11, eco17,12,1,9.6,7.4,0,33.3,33.3,0.55,0,92.21950224
5,12, eco17,12,1,9.7,5.2,0,27.8,27.8,0.56,0,68.11336008
5,1, eco17,12,1,9.1,4.7,0,26.09,26.09,0.53,0,57.06338522
5,2, eco17,12,1,6.5,4.8,0,25.57,25.57,0.4,0,41.04912902
5,3, eco17,12,1,6.2,6.5,0,44.25,44.25,0.39,0,51.68210983
5,4, eco17,12,1,5.3,8.6,5.14,56.88,51.73,0.34,0,49.29720934
5,5, eco17,12,1,5.2,11.7,10.81,63.3,52.49,0.34,0,-32.62195166
5,6, eco17,12,1,5.4,14.7,17.61,63.83,46.23,0.35,0,-272.4144893
6,7, eco17,12,1,4.7,16.7,24.59,49.13,24.53,0.31,0,-264.981759
6,8, eco17,12,1,5.8,16.5,48.66,71.78,23.13,0.37,0,-167.5065256
6,9, eco17,12,1,6.8,14.2,82.39,80.36,-2.02,0.41,0,-90.77556341
6,10, eco17,12,1,9.3,11.3,51.55,63.03,11.47,0.54,0,10.82549945
